,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brown,23,8,15,.348,-8.88,-4.36,,2,8,,5,7,,3,8,,1617,1573,,67.0,100.0,.355,.413,.536,48.9,53.1,10.3,9.2,.493,17.6,26.7,.267
32,Bryant,26,8,18,.308,-17.73,-6.64,,4,8,,7,4,,1,14,,1676,1880,,65.6,109.8,.316,.358,.543,51.2,53.6,12.4,8.3,.512,12.9,31.3,.225
33,Bucknell,27,8,19,.296,-14.24,-4.42,,5,9,,5,6,,3,10,,1815,2080,,67.0,113.5,.358,.442,.585,53.6,60.8,11.2,11.8,.552,15.5,31.9,.265
34,Buffalo,25,15,10,.600,-2.51,-4.69,,5,7,,6,6,,7,4,,1966,1871,,67.2,110.8,.308,.424,.567,50.4,57.8,9.9,8.3,.538,15.2,30.1,.224
35,Butler,26,13,13,.500,11.32,8.40,,4,11,,9,6,,1,7,,2073,1997,,69.8,107.9,.254,.362,.539,47.6,52.5,9.6,13.2,.514,13.6,30.6,.180
36,Cal Poly,27,11,16,.407,-5.01,0.39,,7,8,,6,6,,5,9,,2196,2303,,75.9,111.8,.322,.431,.567,49.7,53.7,9.8,10.8,.537,14.6,30.9,.235
37,Cal State Bakersfield,26,8,18,.308,-11.51,-0.68,,2,12,,6,8,,2,10,,1875,2082,,72.2,110.9,.441,.379,.561,51.7,53.9,10.4,8.9,.521,15.9,35.5,.316
38,Cal State Fullerton,27,13,14,.481,-2.56,0.68,,8,7,,8,3,,4,10,,2246,2223,,76.7,107.3,.342,.456,.575,52.1,56.6,7.9,7.7,.544,17.7,28.4,.249
39,Cal State Northridge,26,16,10,.615,-0.64,-0.72,,9,5,,12,1,,4,7,,2132,2054,,75.6,104.5,.349,.489,.546,46.1,56.6,10.5,9.2,.505,15.0,25.8,.263
40,California,26,18,8,.692,12.20,6.84,,6,7,,14,3,,3,5,,2053,1897,,69.1,104.5,.355,.413,.523,51.4,55.5,7.1,10.9,.495,14.0,30.8,.233
41,California Baptist,26,19,7,.731,1.55,-2.68,,9,4,,12,0,,6,6,,1896,1786,,67.4,100.5,.365,.330,.512,44.2,46.4,9.6,9.6,.467,14.3,26.4,.266
42,Campbell,26,12,14,.462,-3.64,0.74,,6,7,,8,3,,3,11,,2077,2042,,71.5,109.8,.347,.285,.575,47.8,49.7,10.2,9.9,.543,15.7,29.5,.255
43,Canisius,27,8,19,.296,-17.33,-7.33,,3,13,,6,7,,2,12,,1702,1921,,64.6,109.7,.347,.449,.561,50.8,57.4,9.9,10.4,.528,14.8,29.8,.251
44,Central Arkansas,27,17,10,.630,-1.21,-4.01,,12,2,,13,1,,4,9,,2161,1989,,70.3,103.4,.286,.529,.558,48.8,61.4,9.1,10.7,.532,17.5,25.5,.204
45,Central Connecticut State,25,15,10,.600,-9.92,-9.14,,9,5,,7,3,,8,7,,1877,1768,,66.1,106.4,.256,.412,.525,48.9,55.4,9.6,6.5,.492,12.5,29.4,.193
46,Central Michigan,25,8,17,.320,-8.60,-2.12,,4,8,,7,4,,0,12,,1849,1933,,69.6,111.1,.398,.396,.556,51.9,58.5,11.3,7.8,.526,14.8,33.9,.270
47,Charleston Southern,27,12,15,.444,-6.79,-6.25,,3,9,,8,3,,4,11,,2240,2145,,74.1,105.2,.416,.306,.509,47.7,39.4,11.3,9.7,.464,10.9,28.5,.291
48,Charlotte,25,13,12,.520,-0.75,-0.05,,7,5,,9,5,,4,5,,1839,1852,,64.3,112.9,.386,.396,.552,47.8,48.2,9.9,9.5,.517,12.3,31.7,.272
49,Chattanooga,27,10,17,.370,-11.30,-5.55,,4,10,,6,7,,4,9,,2016,1994,,68.1,108.5,.413,.420,.533,52.5,53.5,8.7,8.2,.488,12.6,30.5,.298
50,Chicago State,27,6,21,.222,-16.44,-3.75,,4,10,,4,5,,2,16,,1784,2091,,66.6,115.7,.369,.541,.604,53.4,72.7,8.4,8.2,.573,17.3,33.6,.274
51,Cincinnati,26,14,12,.538,13.93,8.63,,6,7,,13,3,,1,6,,1879,1741,,69.7,96.0,.296,.409,.508,48.4,55.4,8.5,6.9,.476,16.6,26.8,.207
52,Clemson,26,20,6,.769,17.61,7.49,,10,3,,11,2,,6,3,,1945,1682,,65.6,97.6,.333,.417,.512,47.4,46.2,8.6,10.4,.468,15.7,25.2,.249
53,Cleveland State,27,10,17,.370,-11.91,-2.75,,6,10,,6,6,,3,10,,2169,2291,,71.3,119.0,.340,.447,.579,52.0,57.6,9.6,14.4,.542,13.0,36.1,.260
54,Coastal Carolina,27,16,11,.593,-6.92,-5.46,,8,6,,7,4,,8,7,,1985,1946,,69.0,101.6,.351,.372,.493,48.8,39.4,8.0,7.1,.453,10.9,26.6,.246
55,Colgate,28,16,12,.571,-4.95,-4.53,,10,5,,7,4,,6,8,,2124,2056,,67.0,107.7,.327,.407,.540,50.0,54.0,8.8,5.9,.506,13.9,29.5,.237
56,College of Charleston,27,17,10,.630,-0.97,-2.04,,10,4,,10,4,,5,4,,2045,1996,,69.2,105.8,.262,.433,.511,49.6,52.2,9.5,8.9,.484,12.3,31.8,.181
57,Colorado,26,14,12,.538,10.91,9.41,,4,9,,11,4,,1,7,,2081,2042,,69.6,111.7,.345,.372,.563,49.9,50.0,8.0,8.7,.530,13.7,29.6,.252
58,Colorado State,25,15,10,.600,8.19,4.40,,6,8,,10,4,,3,5,,1899,1758,,64.1,109.8,.317,.451,.554,46.8,48.5,10.0,7.6,.528,13.3,27.7,.218
59,Columbia,24,15,9,.625,-2.49,-4.08,,4,6,,8,3,,7,6,,1878,1740,,67.9,105.8,.322,.357,.529,43.5,58.1,10.0,10.0,.492,12.4,26.4,.236
