,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
49,Chattanooga,27,10,17,.370,-11.30,-5.55,,4,10,,6,7,,4,9,,2016,1994,,1080,697,1563,.446,279,799,.349,343,449,.764,212,884,408,153,72,266,515
50,Chicago State,27,6,21,.222,-16.44,-3.75,,4,10,,4,5,,2,16,,1784,2091,,1085,634,1576,.402,156,487,.320,360,482,.747,294,850,298,222,32,294,507
51,Cincinnati,26,14,12,.538,13.93,8.63,,6,7,,13,3,,1,6,,1879,1741,,1040,668,1562,.428,219,680,.322,324,480,.675,286,965,428,168,113,316,418
52,Clemson,26,20,6,.769,17.61,7.49,,10,3,,11,2,,6,3,,1945,1682,,1050,671,1455,.461,211,617,.342,392,541,.725,245,919,336,163,67,257,421
53,Cleveland State,27,10,17,.370,-11.91,-2.75,,6,10,,6,6,,3,10,,2169,2291,,1080,710,1560,.455,292,769,.380,457,605,.755,279,899,425,147,79,355,506
54,Coastal Carolina,27,16,11,.593,-6.92,-5.46,,8,6,,7,4,,8,7,,1985,1946,,1110,686,1652,.415,247,707,.349,366,504,.726,280,1089,293,121,86,299,509
55,Colgate,28,16,12,.571,-4.95,-4.53,,10,5,,7,4,,6,8,,2124,2056,,1145,789,1644,.480,205,564,.363,341,466,.732,256,953,403,176,88,290,471
56,College of Charleston,27,17,10,.630,-0.97,-2.04,,10,4,,10,4,,5,4,,2045,1996,,1090,695,1564,.444,175,599,.292,480,648,.741,286,1023,345,147,123,302,460
57,Colorado,26,14,12,.538,10.91,9.41,,4,9,,11,4,,1,7,,2081,2042,,1050,735,1566,.469,189,540,.350,422,562,.751,270,903,403,164,85,259,451
58,Colorado State,25,15,10,.600,8.19,4.40,,6,8,,10,4,,3,5,,1899,1758,,1000,632,1289,.490,248,628,.395,387,502,.771,221,821,388,133,53,295,408
59,Columbia,24,15,9,.625,-2.49,-4.08,,4,6,,8,3,,7,6,,1878,1740,,970,693,1429,.485,195,535,.364,297,431,.689,305,953,390,131,80,318,400
60,Connecticut,26,24,2,.923,23.90,9.78,,14,1,,13,1,,8,1,,2061,1694,,1050,751,1532,.490,224,609,.368,335,478,.701,298,948,482,185,140,287,479
61,Coppin State,27,6,21,.222,-25.79,-7.40,,4,6,,2,5,,4,13,,1756,2193,,1080,612,1502,.407,165,533,.310,367,546,.672,297,877,322,177,84,420,489
62,Cornell,23,12,11,.522,-1.52,-2.99,,5,5,,5,3,,7,8,,2078,1935,,930,727,1456,.499,302,755,.400,322,435,.740,246,822,499,144,65,279,455
63,Creighton,26,13,13,.500,10.71,9.82,,7,8,,10,4,,2,7,,1977,1954,,1045,704,1540,.457,262,755,.347,307,412,.745,254,910,411,149,69,296,377
64,Dartmouth,23,10,13,.435,-6.46,-2.51,,4,6,,5,7,,5,6,,1761,1735,,925,589,1313,.449,240,644,.373,343,467,.734,211,827,330,107,87,292,362
65,Davidson,25,15,10,.600,5.40,3.83,,6,6,,9,6,,5,3,,1848,1717,,1010,656,1405,.467,233,614,.379,303,446,.679,245,814,348,179,106,263,428
66,Dayton,25,16,9,.640,6.96,2.52,,7,5,,12,2,,3,5,,1896,1785,,1015,611,1368,.447,183,558,.328,491,649,.757,230,824,352,227,104,307,414
67,Delaware,25,9,16,.360,-7.17,-2.38,,5,9,,4,8,,4,7,,1672,1796,,1015,587,1312,.447,212,592,.358,286,372,.769,166,788,312,134,76,303,358
68,Delaware State,25,6,19,.240,-22.53,-8.86,,1,9,,5,5,,1,13,,1524,1783,,1005,547,1387,.394,121,399,.303,309,449,.688,233,758,269,203,45,330,420
69,Denver,28,13,15,.464,-4.88,-1.20,,6,7,,7,5,,6,10,,2331,2315,,1120,823,1703,.483,249,653,.381,436,563,.774,295,966,322,126,56,282,486
70,DePaul,25,13,12,.520,6.90,5.42,,5,9,,11,4,,1,7,,1793,1756,,1000,625,1408,.444,184,555,.332,359,515,.697,252,833,386,170,89,302,455
71,Detroit Mercy,25,12,13,.480,-7.31,-2.92,,9,7,,6,5,,6,8,,1932,1964,,1000,683,1555,.439,169,493,.343,397,523,.759,324,962,327,146,80,293,488
72,Drake,28,12,16,.429,-0.90,1.02,,6,11,,6,9,,4,6,,2149,2115,,1130,739,1653,.447,260,742,.350,411,571,.720,269,995,380,157,83,280,482
73,Drexel,27,13,14,.481,-5.24,-4.63,,7,7,,10,4,,3,8,,1852,1834,,1080,673,1529,.440,215,616,.349,291,445,.654,301,952,371,168,101,339,459
74,Duke,26,24,2,.923,30.60,10.79,,13,1,,13,0,,8,1,,2157,1642,,1040,758,1512,.501,231,662,.349,410,574,.714,307,1029,442,213,90,280,403
75,Duquesne,25,15,10,.600,4.87,1.48,,7,5,,10,5,,5,4,,2060,1911,,1020,708,1494,.474,235,661,.356,409,572,.715,263,898,407,198,71,319,500
76,East Carolina,25,9,16,.360,-6.29,0.09,,4,8,,6,8,,3,6,,1757,1909,,1005,609,1469,.415,129,461,.280,410,578,.709,304,905,290,159,103,299,409
77,East Tennessee State,27,19,8,.704,0.98,-7.35,,11,3,,13,3,,6,5,,2115,1839,,1090,755,1560,.484,199,591,.337,406,531,.765,258,932,398,246,96,273,442
78,East Texas A&M,28,11,17,.393,-10.14,-0.98,,6,12,,6,6,,4,11,,1979,2087,,1120,697,1616,.431,240,746,.322,345,505,.683,260,947,453,203,90,376,484
79,Eastern Illinois,27,11,16,.407,-13.18,-4.68,,7,9,,9,4,,2,12,,1815,1897,,1090,647,1514,.427,153,471,.325,368,502,.733,267,887,334,206,79,345,447
80,Eastern Kentucky,27,9,18,.333,-8.98,-3.54,,5,9,,7,5,,2,13,,2160,2179,,1095,743,1713,.434,297,867,.343,377,523,.721,354,985,384,196,84,321,498
81,Eastern Michigan,26,9,17,.346,-5.08,-1.24,,3,10,,6,5,,3,12,,1850,1908,,1050,683,1527,.447,164,497,.330,320,444,.721,265,920,332,158,104,307,474
82,Eastern Washington,26,9,17,.346,-3.15,0.74,,7,6,,6,3,,3,13,,2004,2083,,1050,711,1526,.466,191,533,.358,391,516,.758,268,828,338,156,78,327,473
83,Elon,27,14,13,.519,-3.01,-2.73,,6,8,,8,6,,6,7,,2186,2111,,1100,767,1656,.463,249,710,.351,403,565,.713,328,980,417,186,81,286,463
84,Evansville,26,6,20,.231,-7.74,3.42,,2,13,,4,8,,1,10,,1752,1949,,1050,616,1437,.429,199,608,.327,321,447,.718,216,834,341,146,91,342,415
85,Fairfield,27,16,11,.593,-8.32,-8.71,,8,8,,10,3,,6,8,,2040,1967,,1085,743,1714,.433,212,630,.337,342,476,.718,380,1039,329,178,98,269,420
86,FDU,27,10,17,.370,-13.63,-6.42,,7,7,,8,5,,2,12,,1833,1882,,1085,632,1536,.411,218,715,.305,351,496,.708,327,970,322,139,45,315,469
87,Florida,25,19,6,.760,27.36,12.32,,10,2,,11,1,,5,2,,2162,1786,,1000,763,1625,.470,187,634,.295,449,638,.704,409,1150,406,170,128,293,439
88,Florida A&M,24,10,14,.417,-16.25,-7.75,,7,6,,6,3,,3,11,,1677,1846,,965,579,1337,.433,171,514,.333,348,514,.677,247,790,306,193,75,373,446
89,Florida Atlantic,26,14,12,.538,5.44,2.82,,6,7,,9,4,,3,6,,2107,1958,,1050,755,1629,.463,218,657,.332,379,528,.718,328,1024,356,160,149,325,463
90,Florida Gulf Coast,27,12,15,.444,-5.95,-3.79,,6,8,,9,6,,3,9,,2128,2105,,1090,768,1683,.456,232,672,.345,360,501,.719,327,1000,408,208,98,314,516
91,Florida International,25,12,13,.480,-1.58,-0.13,,5,9,,10,5,,2,8,,2039,1944,,1010,714,1565,.456,191,540,.354,420,618,.680,327,966,382,243,115,320,446
92,Florida State,25,12,13,.480,9.86,7.90,,5,7,,9,5,,3,5,,2009,1960,,1000,681,1603,.425,258,815,.317,389,544,.715,312,914,365,201,95,283,465
93,Fordham,26,14,12,.538,0.25,-1.58,,5,8,,8,7,,4,4,,1840,1693,,1045,703,1583,.444,176,603,.292,258,370,.697,339,1023,380,188,61,298,397
94,Fresno State,25,12,13,.480,4.64,4.19,,6,8,,9,6,,2,7,,1843,1795,,1000,630,1421,.443,190,596,.319,393,527,.746,246,875,330,180,51,332,426
95,Furman,27,17,10,.630,-2.96,-5.54,,8,6,,10,4,,6,4,,2073,1898,,1095,752,1579,.476,246,766,.321,323,480,.673,301,1044,446,136,91,336,403
96,Gardner-Webb,27,3,24,.111,-23.88,-0.67,,1,11,,3,9,,0,13,,1856,2370,,1080,664,1550,.428,190,602,.316,338,495,.683,233,824,282,166,65,381,488
97,George Mason,26,21,5,.808,6.58,-0.02,,9,4,,15,1,,4,4,,1938,1749,,1040,658,1377,.478,160,470,.340,462,637,.725,251,913,339,135,78,282,403
98,George Washington,26,15,11,.577,10.11,1.83,,6,7,,11,3,,2,5,,2163,1899,,1040,746,1587,.470,263,737,.357,408,554,.736,329,987,412,198,88,329,465
99,Georgetown,25,13,12,.520,8.68,6.60,,5,9,,9,5,,4,5,,1882,1830,,1015,639,1462,.437,172,516,.333,432,582,.742,286,906,364,171,93,253,457
100,Georgia,25,17,8,.680,18.79,6.83,,5,7,,11,4,,4,3,,2258,1959,,1020,779,1670,.466,228,720,.317,472,632,.747,344,993,364,214,164,277,422
101,Georgia Southern,27,15,12,.556,-7.57,-6.45,,7,7,,9,5,,6,5,,2190,2157,,1095,723,1668,.433,254,785,.324,490,675,.726,304,953,306,222,108,288,527
102,Georgia State,27,9,18,.333,-10.64,-3.64,,6,8,,6,4,,3,12,,1903,2006,,1085,607,1596,.380,235,726,.324,454,580,.783,295,957,324,184,82,300,494
103,Georgia Tech,26,11,15,.423,2.98,4.78,,2,11,,10,6,,1,7,,1937,1984,,1045,697,1559,.447,183,498,.367,360,521,.691,281,983,418,159,107,342,467
104,Gonzaga,27,25,2,.926,26.24,5.83,,13,1,,13,0,,7,1,,2366,1815,,1085,901,1749,.515,178,520,.342,386,555,.695,340,1112,500,240,95,269,470
105,Grambling,25,11,14,.440,-10.82,-7.60,,5,7,,6,3,,3,11,,1765,1763,,1000,588,1346,.437,164,521,.315,425,580,.733,252,831,296,202,71,366,476
106,Grand Canyon,25,16,9,.640,10.59,4.07,,9,5,,11,3,,4,4,,1882,1719,,1005,646,1440,.449,168,559,.301,422,559,.755,272,910,315,172,89,305,455
107,Green Bay,28,15,13,.536,-5.31,-2.54,,10,7,,8,4,,5,8,,2101,2113,,1131,711,1470,.484,203,561,.362,476,633,.752,221,880,384,128,76,302,492
108,Hampton,26,12,14,.462,-7.31,-4.73,,6,7,,9,1,,2,9,,1822,1788,,1050,626,1494,.419,165,551,.299,405,569,.712,327,960,317,172,91,300,499
109,Harvard,24,14,10,.583,-1.90,-3.77,,7,3,,7,4,,7,5,,1699,1627,,970,613,1304,.470,182,501,.363,291,363,.802,192,753,330,177,85,260,339
110,Hawaii,24,18,6,.750,6.40,-3.74,,10,4,,14,1,,4,5,,1914,1627,,965,645,1396,.462,183,563,.325,441,600,.735,274,955,343,159,92,329,422
111,High Point,28,24,4,.857,7.20,-7.96,,12,1,,15,1,,6,2,,2570,1975,,1130,871,1740,.501,260,722,.360,568,762,.745,327,1008,471,323,103,260,512
112,Hofstra,27,17,10,.630,2.73,-1.76,,8,6,,7,2,,8,8,,2046,1831,,1085,708,1607,.441,257,693,.371,373,500,.746,337,1057,359,133,104,292,470
113,Holy Cross,27,9,18,.333,-13.00,-5.32,,4,10,,6,6,,2,12,,1823,1969,,1080,649,1499,.433,181,571,.317,344,468,.735,213,857,284,159,44,278,422
114,Houston,26,23,3,.885,25.88,9.65,,11,2,,13,0,,5,2,,2024,1602,,1045,733,1621,.452,232,680,.341,326,424,.769,342,961,398,209,102,213,476
115,Houston Christian,27,10,17,.370,-9.28,-3.08,,6,12,,8,4,,2,12,,1834,1967,,1085,641,1450,.442,171,533,.321,381,542,.703,282,862,387,178,103,337,409
116,Howard,27,17,10,.630,-5.64,-9.94,,7,3,,9,4,,5,6,,2050,1840,,1084,694,1537,.452,172,516,.333,490,672,.729,330,975,427,238,95,367,535
117,Idaho,26,14,12,.538,-0.77,-1.77,,6,7,,8,3,,5,8,,2066,1915,,1045,702,1553,.452,269,750,.359,393,527,.746,265,950,336,157,54,282,487
118,Idaho State,27,10,17,.370,-5.07,-0.48,,3,11,,6,5,,3,11,,2006,2052,,1086,680,1498,.454,211,632,.334,435,583,.746,293,881,324,144,110,300,461
119,Illinois,26,21,5,.808,27.17,11.17,,12,3,,13,2,,6,1,,2189,1773,,1050,742,1594,.465,290,815,.356,415,529,.784,342,1070,378,94,124,237,334
120,Illinois State,27,17,10,.630,6.96,0.08,,9,7,,11,2,,4,6,,2062,1838,,1085,741,1582,.468,233,664,.351,347,497,.698,265,986,374,158,66,300,455
121,Illinois-Chicago,27,15,12,.556,3.08,0.56,,10,6,,8,4,,6,7,,2027,1883,,1090,715,1596,.448,163,520,.313,434,590,.736,357,985,388,226,104,327,455
122,Incarnate Word,27,10,17,.370,-7.24,-1.58,,5,13,,8,5,,1,11,,2031,2022,,1080,710,1596,.445,233,618,.377,378,530,.713,334,945,317,145,73,308,497
123,Indiana,26,17,9,.654,18.53,9.53,,8,7,,13,2,,3,6,,2089,1855,,1055,701,1491,.470,266,764,.348,421,534,.788,230,884,450,129,72,264,479
124,Indiana State,27,10,17,.370,-2.87,-0.15,,3,13,,7,6,,3,10,,2028,2023,,1105,741,1584,.468,223,707,.315,323,476,.679,251,947,482,167,78,360,440
125,Iona,27,15,12,.556,-7.13,-7.20,,7,9,,9,3,,5,7,,1976,1974,,1090,698,1594,.438,256,726,.353,324,457,.709,253,926,376,190,80,307,432
126,Iowa,25,18,7,.720,19.22,7.14,,8,6,,12,2,,3,5,,1924,1622,,1000,674,1346,.501,200,544,.368,376,492,.764,225,747,389,183,55,239,449
127,Iowa State,26,23,3,.885,27.31,8.27,,10,3,,15,0,,4,3,,2175,1680,,1040,787,1558,.505,235,590,.398,366,550,.665,312,946,470,229,77,274,405
128,IU Indy,28,7,21,.250,-11.99,-3.88,,3,14,,5,7,,2,13,,2352,2466,,1125,889,1948,.456,271,844,.321,303,414,.732,327,925,569,257,93,335,627
129,Jackson State,26,9,17,.346,-18.29,-2.98,,8,5,,5,3,,4,12,,1826,2224,,1045,605,1528,.396,212,661,.321,404,526,.768,269,870,289,155,80,364,509
130,Jacksonville,27,10,17,.370,-11.82,-4.26,,5,9,,7,3,,2,13,,1941,1970,,1090,692,1539,.450,197,616,.320,360,508,.709,292,906,319,185,80,319,518
131,Jacksonville State,25,13,12,.520,-3.22,-2.67,,8,6,,9,6,,4,5,,1816,1672,,1000,605,1377,.439,194,555,.350,412,602,.684,279,929,302,153,79,294,424
132,James Madison,27,14,13,.519,-5.34,-4.11,,6,8,,10,3,,3,10,,1996,2014,,1090,686,1542,.445,245,694,.353,379,543,.698,295,989,354,143,122,316,520
133,Kansas,25,19,6,.760,23.26,14.14,,9,3,,12,1,,4,4,,1928,1700,,1010,685,1453,.471,185,523,.354,373,489,.763,236,970,368,135,153,262,359
134,Kansas City,26,4,22,.154,-17.70,-0.92,,1,11,,3,9,,1,13,,1829,2169,,1045,662,1576,.420,169,559,.302,336,481,.699,288,888,311,163,81,354,435
135,Kansas State,25,10,15,.400,9.02,9.50,,1,11,,8,7,,1,7,,2005,2017,,1000,731,1600,.457,248,681,.364,295,416,.709,279,871,444,172,93,319,487
136,Kennesaw State,25,14,11,.560,-0.76,-1.94,,6,8,,10,3,,3,6,,2128,1920,,1010,710,1596,.445,245,708,.346,463,670,.691,369,1052,366,175,134,302,502
137,Kent State,26,19,7,.731,0.01,-1.99,,10,3,,12,2,,5,5,,2235,2080,,1065,739,1614,.458,250,712,.351,507,682,.743,343,1051,428,174,96,362,504
138,Kentucky,25,17,8,.680,20.69,11.21,,8,4,,13,2,,3,4,,2041,1804,,1000,709,1509,.470,206,591,.349,417,576,.724,297,947,404,183,119,256,449
139,La Salle,25,7,18,.280,-3.97,4.40,,3,9,,5,5,,1,10,,1644,1816,,1000,581,1406,.413,125,430,.291,357,500,.714,297,877,337,169,61,306,400
140,Lafayette,27,8,19,.296,-13.05,-5.93,,5,9,,5,8,,3,11,,1845,1995,,1085,651,1563,.417,203,640,.317,340,499,.681,264,912,359,159,61,289,454
141,Lamar,27,12,15,.444,-3.37,-2.61,,7,11,,7,6,,5,8,,1931,1866,,1085,706,1614,.437,191,548,.349,328,459,.715,348,1015,399,175,123,316,472
142,Le Moyne,27,14,13,.519,-9.97,-8.47,,9,5,,8,3,,5,9,,1985,1980,,1080,683,1472,.464,205,594,.345,414,581,.713,229,938,392,161,95,364,472
143,Lehigh,27,12,15,.444,-10.25,-6.57,,8,6,,8,4,,3,10,,1985,2029,,1125,708,1541,.459,217,619,.351,352,488,.721,206,858,381,190,91,336,449
144,Liberty,25,22,3,.880,5.33,-1.44,,14,0,,12,0,,9,1,,1973,1693,,1005,712,1367,.521,262,652,.402,287,410,.700,145,750,439,164,87,213,345
145,Lindenwood,27,16,11,.593,-7.76,-6.85,,10,6,,9,4,,6,7,,2133,1967,,1080,775,1670,.464,159,517,.308,424,622,.682,338,1055,410,247,120,372,460
146,Lipscomb,27,16,11,.593,-2.77,-3.57,,9,5,,12,1,,4,10,,2190,2062,,1085,778,1686,.461,291,794,.366,343,448,.766,263,947,491,199,78,314,439
147,Little Rock,27,10,17,.370,-13.58,-7.26,,7,9,,5,4,,5,13,,1904,2019,,1080,714,1599,.447,177,498,.355,299,443,.675,309,901,381,225,111,355,415
148,Long Beach State,26,8,18,.308,-5.27,1.15,,4,10,,7,6,,1,12,,1928,2002,,1050,709,1552,.457,171,533,.321,339,462,.734,245,844,354,189,72,326,513
149,Long Island University,27,18,9,.667,-4.15,-6.19,,12,2,,9,1,,9,8,,1976,1921,,1085,739,1573,.470,163,460,.354,335,510,.657,327,974,371,213,144,366,482
150,Longwood,28,14,14,.500,-8.86,-7.78,,6,7,,10,4,,3,9,,2142,2043,,1140,749,1618,.463,172,547,.314,472,643,.734,327,1028,362,243,71,392,538
151,Louisiana,27,9,18,.333,-11.63,-5.00,,6,8,,6,7,,3,11,,1699,1878,,1080,599,1476,.406,211,628,.336,290,410,.707,256,820,289,147,91,303,510
152,Louisiana State,25,14,11,.560,13.40,8.00,,2,10,,9,5,,2,5,,2018,1883,,1010,692,1462,.473,166,517,.321,468,614,.762,279,921,363,155,96,269,452
153,Louisiana Tech,25,14,11,.560,-5.02,-2.93,,7,7,,12,2,,2,9,,1729,1612,,1015,636,1460,.436,138,474,.291,319,492,.648,336,980,299,176,115,307,403
154,Louisiana-Monroe,27,4,23,.148,-18.76,-5.00,,1,13,,3,9,,1,13,,1949,2250,,1090,649,1564,.415,210,642,.327,441,608,.725,251,879,324,172,96,347,373
155,Louisville,25,19,6,.760,25.95,9.99,,8,4,,13,2,,3,4,,2172,1773,,1000,729,1541,.473,291,816,.357,423,548,.772,294,997,447,175,84,289,469
156,Loyola (IL),26,6,20,.231,-8.34,2.31,,2,11,,4,10,,1,6,,1748,2025,,1040,603,1441,.418,211,684,.308,331,495,.669,289,888,359,102,100,339,432
157,Loyola (MD),27,11,16,.407,-12.69,-8.45,,7,7,,8,4,,2,11,,2028,2048,,1095,710,1625,.437,259,767,.338,349,502,.695,289,961,365,172,99,313,447
158,Loyola Marymount,28,13,15,.464,1.64,2.27,,4,11,,9,7,,3,7,,2104,2038,,1135,755,1646,.459,236,677,.349,358,513,.698,260,967,372,171,117,345,503
159,Maine,27,6,21,.222,-16.53,-8.03,,4,8,,4,7,,2,12,,1689,1872,,1080,602,1361,.442,160,510,.314,325,503,.646,180,757,331,209,91,343,459
160,Manhattan,28,12,16,.429,-14.62,-7.81,,8,9,,7,5,,3,11,,2109,2227,,1135,722,1674,.431,210,624,.337,455,574,.793,297,935,368,218,69,293,409
161,Marist,26,16,10,.615,-2.73,-8.29,,10,7,,10,3,,6,7,,1821,1650,,1045,670,1499,.447,169,526,.321,312,392,.796,250,930,395,181,74,292,437
162,Marquette,26,9,17,.346,7.34,9.07,,4,11,,9,5,,0,10,,1975,2020,,1055,701,1606,.436,215,668,.322,358,528,.678,299,901,410,239,82,296,447
163,Marshall,27,17,10,.630,-1.29,-3.75,,9,5,,12,3,,5,7,,2170,2056,,1080,770,1664,.463,279,757,.369,351,483,.727,317,1015,461,169,138,323,545
164,Maryland,25,10,15,.400,3.48,10.28,,3,11,,6,6,,2,7,,1785,1955,,1005,584,1431,.408,209,657,.318,408,568,.718,305,875,255,128,66,313,459
165,Maryland-Baltimore County,24,16,8,.667,-7.57,-11.21,,9,2,,9,2,,7,6,,1804,1653,,970,642,1374,.467,188,540,.348,332,445,.746,189,837,305,115,61,240,328
166,Maryland-Eastern Shore,27,8,19,.296,-16.59,-5.87,,4,6,,5,2,,2,17,,1721,1920,,1095,645,1450,.445,147,485,.303,284,400,.710,267,868,360,147,61,415,484
167,Massachusetts,26,15,11,.577,-1.24,-3.72,,6,7,,10,3,,2,6,,2106,1993,,1060,751,1600,.469,201,566,.355,403,600,.672,317,975,456,180,58,343,542
168,Massachusetts-Lowell,26,11,15,.423,-14.52,-6.95,,6,5,,7,3,,4,12,,1960,2010,,1040,708,1518,.466,154,466,.330,390,584,.668,316,973,318,140,82,342,389
169,McNeese State,27,22,5,.815,8.39,-1.49,,15,3,,12,0,,7,5,,2195,1804,,1080,773,1625,.476,186,564,.330,463,610,.759,345,948,390,280,122,258,507
170,Memphis,25,12,13,.480,7.28,6.28,,7,5,,10,3,,2,8,,1870,1845,,1005,661,1521,.435,170,533,.319,378,522,.724,329,929,342,231,104,354,503
171,Mercer,27,17,10,.630,-1.56,-4.52,,9,5,,12,0,,5,10,,2238,2005,,1080,773,1706,.453,240,709,.339,452,612,.739,351,1058,385,225,96,288,414
172,Mercyhurst,27,13,14,.481,-9.83,-8.87,,8,6,,9,2,,4,12,,1838,1782,,1091,707,1560,.453,164,506,.324,260,366,.710,248,870,402,202,102,264,483
173,Merrimack,27,18,9,.667,-3.62,-5.32,,14,2,,9,0,,8,7,,1846,1800,,1080,600,1425,.421,209,648,.323,437,565,.773,215,777,328,220,134,271,458
174,Miami (FL),25,20,5,.800,17.68,4.20,,9,3,,13,2,,6,1,,2089,1752,,1000,766,1508,.508,160,480,.333,395,588,.672,309,969,419,197,84,283,396
175,Miami (OH),25,25,0,1.000,6.92,-5.81,,12,0,,14,0,,10,0,,2315,1857,,1015,802,1497,.536,267,666,.401,444,579,.767,210,899,426,192,91,272,405
176,Michigan,25,24,1,.960,34.81,12.53,,14,1,,12,1,,8,0,,2265,1708,,1006,792,1542,.514,231,652,.354,450,615,.732,289,1039,484,154,153,304,402
177,Michigan State,25,20,5,.800,23.46,11.34,,10,4,,12,2,,4,3,,1970,1667,,1010,689,1478,.466,188,544,.346,404,535,.755,330,1031,463,137,108,296,404
178,Middle Tennessee,25,12,13,.480,0.58,3.08,,6,8,,8,4,,3,7,,1886,1823,,1025,667,1498,.445,239,695,.344,313,457,.685,281,914,361,156,111,287,441
179,Milwaukee,28,11,17,.393,-6.90,-1.76,,7,10,,7,6,,3,11,,2143,2227,,1120,768,1734,.443,206,646,.319,401,576,.696,354,1013,367,188,81,290,537
180,Minnesota,25,11,14,.440,9.63,7.59,,4,10,,10,4,,1,7,,1774,1723,,1015,600,1322,.454,207,620,.334,367,531,.691,232,810,433,170,69,269,397
181,Mississippi,25,11,14,.440,9.43,9.07,,3,9,,7,5,,2,6,,1851,1842,,1005,649,1489,.436,189,559,.338,364,494,.737,264,872,336,168,110,239,488
182,Mississippi State,25,12,13,.480,9.11,10.11,,4,8,,7,6,,4,3,,1934,1959,,1015,702,1572,.447,192,614,.313,338,499,.677,295,994,314,145,110,290,397
183,Mississippi Valley State,26,1,25,.038,-29.21,-5.61,,0,12,,1,8,,0,15,,1661,2215,,1050,593,1458,.407,135,444,.304,340,480,.708,237,785,312,193,70,400,544
184,Missouri,25,17,8,.680,11.91,6.19,,7,5,,13,2,,4,5,,2001,1858,,1005,704,1432,.492,182,522,.349,411,610,.674,300,916,366,168,90,308,442
185,Missouri State,25,13,12,.520,-3.01,-1.47,,7,7,,10,5,,3,7,,1878,1824,,1020,641,1443,.444,189,592,.319,407,604,.674,304,886,350,183,83,291,440
186,Monmouth,26,14,12,.538,-3.08,-3.40,,8,5,,8,4,,5,7,,1887,1851,,1055,665,1537,.433,177,507,.349,380,519,.732,303,926,366,206,124,295,414
187,Montana,26,14,12,.538,-0.42,0.30,,8,5,,9,6,,5,6,,2038,1906,,1040,709,1428,.496,211,588,.359,409,527,.776,186,918,408,151,64,360,464
188,Montana State,26,15,11,.577,1.61,0.01,,9,4,,9,2,,5,9,,2022,1839,,1045,707,1530,.462,252,689,.366,356,470,.757,253,869,295,182,72,263,413
189,Morehead State,27,15,12,.556,-10.95,-6.03,,11,5,,10,2,,4,10,,2057,2050,,1090,735,1581,.465,165,486,.340,422,575,.734,338,979,375,182,85,330,486
190,Morgan State,24,10,14,.417,-19.56,-8.79,,6,3,,6,5,,4,9,,1797,1887,,962,606,1412,.429,160,490,.327,425,579,.734,277,827,314,128,83,309,527
191,Mount St. Mary's,27,12,15,.444,-11.70,-6.32,,8,8,,6,5,,6,10,,1838,1947,,1085,642,1468,.437,214,650,.329,340,506,.672,280,990,369,152,84,421,486
192,Murray State,28,19,9,.679,5.30,0.48,,11,6,,11,3,,5,4,,2361,2226,,1120,798,1706,.468,267,768,.348,498,656,.759,333,1040,387,164,115,340,520
193,Navy,27,21,6,.778,-1.72,-9.40,,13,1,,12,1,,8,4,,2003,1731,,1095,701,1476,.475,170,487,.349,431,587,.734,278,993,432,203,78,315,401
194,NC State,26,18,8,.692,20.05,9.47,,9,4,,10,4,,6,2,,2209,1934,,1050,756,1580,.478,276,700,.394,421,551,.764,245,913,425,218,84,251,476
195,Nebraska,25,22,3,.880,22.96,9.56,,11,3,,13,2,,6,1,,1984,1649,,1005,705,1498,.471,275,763,.360,299,393,.761,218,889,460,179,68,236,363
196,Nevada,25,17,8,.680,11.77,6.77,,9,5,,12,2,,4,5,,1904,1779,,1015,623,1429,.436,178,469,.380,480,634,.757,289,894,356,165,96,233,447
197,Nevada-Las Vegas,25,13,12,.520,4.10,5.39,,8,6,,8,5,,5,4,,1980,1969,,1010,688,1487,.463,174,528,.330,430,618,.696,294,893,353,199,111,311,541
198,New Hampshire,24,8,16,.333,-14.51,-4.87,,4,7,,7,4,,1,12,,1681,1783,,980,599,1446,.414,191,608,.314,292,427,.684,248,854,267,149,55,276,442
199,New Haven,26,11,15,.423,-13.88,-5.83,,6,7,,7,5,,4,10,,1670,1730,,1040,610,1388,.439,170,550,.309,280,410,.683,215,824,324,177,59,302,362
200,New Mexico,25,19,6,.760,14.75,5.08,,10,4,,12,2,,6,3,,2020,1738,,1000,688,1499,.459,238,661,.360,406,542,.749,254,904,370,196,72,273,436
201,New Mexico State,25,12,13,.480,0.04,-0.87,,5,10,,7,5,,3,6,,1896,1778,,1005,658,1504,.438,201,587,.342,377,516,.731,305,939,340,169,83,268,496
202,New Orleans,27,12,15,.444,-3.81,0.16,,10,8,,5,4,,7,11,,2030,2137,,1090,671,1508,.445,170,514,.331,518,695,.745,317,1001,344,154,103,392,532
203,Niagara,26,7,19,.269,-16.36,-7.52,,4,12,,5,6,,2,12,,1647,1845,,1040,606,1382,.438,187,555,.337,248,345,.719,206,758,357,145,77,299,391
