,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
337,Valparaiso,27,14,13,.519,-0.14,1.01,,8,8,,11,4,,3,9,,1926,1916,,1095,664,1585,.419,188,573,.328,410,583,.703,332,995,306,162,102,287,480
338,Vanderbilt,25,21,4,.840,23.96,9.16,,8,4,,12,2,,6,2,,2210,1840,,1005,747,1544,.484,249,693,.359,467,599,.780,263,910,426,215,125,242,490
339,Vermont,27,17,10,.630,-5.71,-9.15,,9,3,,9,3,,7,5,,2030,1886,,1095,717,1527,.470,240,689,.348,356,486,.733,242,952,359,120,81,261,467
340,Villanova,25,20,5,.800,17.86,9.22,,11,3,,11,2,,7,2,,1944,1728,,1010,681,1481,.460,246,679,.362,336,486,.691,307,890,379,186,53,255,400
341,Virginia,25,22,3,.880,20.45,6.45,,10,2,,12,1,,7,1,,2035,1685,,1025,705,1526,.462,249,703,.354,376,536,.701,354,1042,417,163,145,270,460
342,Virginia Commonwealth,26,20,6,.769,13.16,2.16,,11,2,,12,2,,6,2,,2171,1885,,1040,709,1524,.465,247,678,.364,506,682,.742,303,965,377,193,122,288,460
343,VMI,27,6,21,.222,-20.31,-5.27,,1,13,,5,8,,1,11,,1955,2147,,1080,656,1636,.401,295,894,.330,348,482,.722,282,908,341,201,69,281,461
344,Virginia Tech,26,17,9,.654,12.70,8.27,,6,7,,12,3,,3,4,,2058,1943,,1070,710,1579,.450,219,620,.353,419,570,.735,287,913,365,174,87,274,439
345,Wagner,25,9,16,.360,-13.11,-7.51,,4,10,,6,5,,3,11,,1791,1839,,1020,647,1466,.441,185,526,.352,312,443,.704,305,925,321,141,62,323,469
346,Wake Forest,25,13,12,.520,12.93,10.25,,4,8,,9,6,,2,4,,1992,1925,,1010,681,1509,.451,228,670,.340,402,525,.766,255,827,364,216,88,281,465
347,Washington,26,13,13,.500,15.37,10.95,,5,10,,9,5,,3,7,,1998,1883,,1050,725,1585,.457,171,532,.321,377,496,.760,313,970,357,152,112,283,449
348,Washington State,27,11,16,.407,4.52,5.86,,6,8,,8,5,,1,9,,2068,2098,,1080,719,1526,.471,254,691,.368,376,509,.739,265,928,361,154,82,362,489
349,Weber State,27,13,14,.481,-2.81,-2.37,,7,7,,9,5,,4,9,,2202,2082,,1090,772,1656,.466,197,558,.353,461,634,.727,319,1009,375,197,43,302,509
350,West Georgia,26,12,14,.462,-12.02,-5.15,,6,8,,8,5,,4,9,,1971,2078,,1050,720,1641,.439,190,547,.347,341,483,.706,316,946,336,174,130,290,432
351,West Virginia,25,16,9,.640,12.93,6.57,,7,5,,13,2,,3,3,,1753,1594,,1010,607,1366,.444,198,584,.339,341,502,.679,259,880,323,157,66,278,376
352,Western Carolina,25,10,15,.400,-8.54,-2.63,,6,8,,7,3,,3,12,,1952,1975,,1010,710,1602,.443,217,653,.332,315,452,.697,348,972,331,159,74,298,491
353,Western Illinois,27,5,22,.185,-22.52,-7.64,,1,15,,4,8,,1,14,,1766,2065,,1085,615,1532,.401,152,501,.303,384,568,.676,294,887,218,145,54,317,439
354,Western Kentucky,25,14,11,.560,0.17,0.26,,7,7,,10,4,,3,5,,1937,1866,,1005,629,1585,.397,211,643,.328,468,619,.756,351,1010,322,190,68,264,489
355,Western Michigan,25,9,16,.360,-8.66,-2.35,,3,9,,7,5,,2,11,,1871,1983,,1000,667,1503,.444,184,526,.350,353,484,.729,290,922,329,124,65,310,464
356,Wichita State,26,16,10,.615,8.46,2.14,,8,5,,12,3,,4,4,,2005,1821,,1060,709,1599,.443,193,559,.345,394,584,.675,382,1053,309,161,104,266,456
357,William & Mary,26,16,10,.615,1.99,-1.43,,7,7,,9,2,,5,8,,2175,1999,,1040,746,1547,.482,227,667,.340,456,615,.741,243,931,480,211,103,326,442
358,Winthrop,27,19,8,.704,0.74,-4.30,,11,1,,11,1,,7,7,,2296,2014,,1085,750,1677,.447,268,765,.350,528,713,.741,369,1095,415,195,79,293,506
359,Wisconsin,25,18,7,.720,18.61,10.53,,10,4,,13,2,,4,2,,2092,1890,,1015,698,1551,.450,280,792,.354,416,535,.778,266,920,396,142,79,231,439
360,Wofford,27,17,10,.630,-6.35,-6.35,,9,5,,9,3,,8,7,,2137,2079,,1080,732,1612,.454,243,694,.350,430,598,.719,303,946,379,153,89,261,462
361,Wright State,27,17,10,.630,0.20,-3.68,,12,4,,9,4,,7,5,,2167,1968,,1085,771,1584,.487,197,550,.358,428,589,.727,307,954,383,205,124,301,465
362,Wyoming,25,13,12,.520,8.33,4.91,,4,10,,11,4,,1,8,,1936,1830,,1000,660,1463,.451,204,617,.331,412,556,.741,304,901,347,167,61,289,531
363,Xavier,25,13,12,.520,8.24,9.00,,5,9,,11,4,,1,7,,1944,1963,,1005,696,1589,.438,238,650,.366,314,444,.707,253,871,448,172,103,253,448
364,Yale,24,20,4,.833,6.90,-2.29,,8,2,,8,2,,8,2,,2000,1716,,970,701,1401,.500,213,508,.419,385,503,.765,252,846,392,129,68,225,376
365,Youngstown State,27,13,14,.481,-3.47,-4.56,,6,10,,8,5,,4,8,,2144,1967,,1085,748,1604,.466,279,797,.350,369,496,.744,309,945,399,202,101,349,479
