,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS▼,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
47,New Mexico,36,26,10,.722,14.56,4.99,,13,7,,17,3,,7,5,,2935,2550,,1440,872,2080,.419,297,991,.300,509,697,.730,352,1233,475,219,111,488,684
48,Washington,33,16,17,.485,13.98,10.49,,7,13,,10,6,,4,9,,2545,2430,,1335,866,1980,.437,254,756,.336,444,614,.723,333,1075,425,187,116,325,539
49,San Diego State,33,22,11,.667,13.68,8.18,,14,6,,14,2,,5,5,,2580,2342,,1345,756,1890,.400,300,896,.335,528,725,.728,369,1123,439,223,78,472,589
50,South Florida,34,25,9,.735,13.43,3.18,,15,3,,13,2,,9,3,,2974,2575,,1385,867,2085,.416,285,828,.344,556,798,.697,423,1285,447,214,161,493,668
51,Seton Hall,33,21,12,.636,13.29,8.29,,10,10,,12,5,,6,5,,2321,2156,,1320,700,1732,.404,237,731,.324,519,729,.712,360,1104,408,207,123,471,578
52,Virginia Commonwealth,36,28,8,.778,13.22,4.16,,15,3,,15,2,,7,3,,2910,2584,,1445,921,2132,.432,247,748,.330,495,700,.707,393,1255,468,226,107,424,713
53,UCF,33,21,12,.636,12.93,10.63,,9,9,,13,5,,5,5,,2662,2586,,1330,902,1986,.454,265,782,.339,515,694,.742,332,1113,460,203,128,368,567
54,Virginia Tech,32,19,13,.594,12.78,8.87,,8,10,,14,3,,3,7,,2521,2396,,1315,872,1947,.448,236,771,.306,416,560,.743,367,1121,410,175,109,385,576
55,Missouri,33,20,13,.606,12.47,8.72,,10,8,,15,3,,5,7,,2615,2491,,1330,840,1928,.436,305,829,.368,506,684,.740,367,1071,441,217,116,374,610
56,Northwestern,34,15,19,.441,12.41,11.24,,5,15,,9,7,,3,8,,2487,2447,,1365,848,1916,.443,257,770,.334,494,667,.741,387,1177,541,163,82,391,554
57,West Virginia,32,18,14,.563,12.38,7.94,,9,9,,15,3,,3,6,,2214,2072,,1295,733,1762,.416,235,672,.350,371,514,.722,315,1061,404,208,112,375,516
58,Louisiana State,32,15,17,.469,12.26,9.33,,3,15,,9,8,,3,7,,2606,2512,,1315,866,1960,.442,263,743,.354,517,741,.698,381,1107,401,215,104,314,607
59,Stanford,32,20,12,.625,12.09,8.80,,9,9,,12,6,,5,5,,2431,2326,,1280,797,1751,.455,198,587,.337,534,706,.756,309,1063,340,157,99,398,585
60,Boise State,32,20,12,.625,12.06,7.86,,12,8,,12,4,,6,5,,2502,2351,,1310,851,1841,.462,237,683,.347,412,579,.712,240,916,390,189,95,314,632
61,Wake Forest,35,18,17,.514,11.73,9.85,,7,11,,13,7,,2,7,,2759,2693,,1415,914,2071,.441,318,966,.329,547,739,.740,399,1222,520,218,97,434,633
62,Tulsa,36,29,7,.806,11.27,1.24,,13,5,,16,2,,8,4,,3073,2638,,1460,933,2191,.426,284,887,.320,486,672,.723,377,1180,450,231,110,384,674
63,California,34,22,12,.647,11.19,6.86,,9,9,,17,5,,4,6,,2658,2493,,1370,878,2015,.436,258,825,.313,479,728,.658,377,1244,497,178,126,390,615
64,Florida State,33,18,15,.545,11.12,8.70,,10,8,,11,6,,6,5,,2652,2572,,1320,896,2015,.445,313,904,.346,467,659,.709,406,1261,499,222,130,450,590
65,Grand Canyon,32,20,12,.625,11.04,4.07,,13,7,,13,4,,6,5,,2420,2197,,1285,736,1780,.413,217,680,.319,508,694,.732,281,1004,369,206,88,384,645
66,Mississippi,35,15,20,.429,10.80,11.03,,4,14,,7,9,,3,7,,2656,2664,,1425,885,2040,.434,291,870,.334,603,841,.717,411,1300,508,208,108,400,608
67,Oklahoma State,35,20,15,.571,10.66,10.00,,6,12,,15,6,,2,7,,2935,2912,,1415,1028,2267,.453,351,974,.360,505,713,.708,407,1300,580,239,146,408,647
68,Providence,33,15,18,.455,10.66,9.35,,7,13,,10,6,,3,8,,2815,2772,,1355,978,2194,.446,298,845,.353,518,718,.721,405,1186,535,254,105,321,615
69,Colorado,32,17,15,.531,10.47,9.94,,7,11,,13,5,,2,8,,2559,2542,,1290,888,1918,.463,253,687,.368,513,696,.737,330,1111,453,188,109,349,589
70,Arizona State,33,17,16,.515,10.42,12.42,,7,11,,10,5,,2,9,,2519,2585,,1320,899,1984,.453,280,800,.350,505,681,.742,407,1199,498,244,113,430,654
71,Nevada,37,24,13,.649,10.42,5.93,,12,8,,17,2,,4,9,,2813,2647,,1500,897,2039,.440,291,863,.337,562,793,.709,339,1212,491,219,135,426,746
72,Southern California,32,18,14,.563,10.42,11.00,,7,13,,9,7,,5,6,,2515,2494,,1305,865,1992,.434,255,808,.316,509,658,.774,369,1099,473,238,105,382,662
73,Creighton,32,15,17,.469,10.35,10.26,,9,11,,10,6,,4,8,,2404,2401,,1285,913,2008,.455,227,642,.354,348,493,.706,348,1146,465,224,104,309,519
74,Butler,32,16,16,.500,10.28,8.43,,7,13,,10,7,,3,8,,2540,2481,,1300,931,2039,.457,255,765,.333,364,507,.718,349,1099,500,217,149,344,647
75,Minnesota,32,15,17,.469,10.24,8.74,,8,12,,13,4,,2,9,,2241,2193,,1295,792,1774,.446,257,740,.347,352,484,.727,305,1036,486,179,106,349,540
76,Syracuse,32,15,17,.469,9.78,9.03,,6,12,,12,6,,2,7,,2400,2376,,1305,846,1916,.442,234,687,.341,450,624,.721,387,1183,448,220,93,385,579
77,Wichita State,36,24,12,.667,9.47,2.67,,13,5,,15,3,,8,5,,2811,2547,,1470,900,2150,.419,237,747,.317,510,724,.704,393,1236,399,221,122,391,642
78,Dayton,37,25,12,.676,9.05,4.21,,12,6,,14,4,,8,5,,2743,2564,,1495,884,2018,.438,292,825,.354,504,716,.704,359,1246,448,249,133,530,743
79,Georgetown,34,16,18,.471,9.05,8.34,,6,14,,10,7,,4,8,,2503,2479,,1375,858,1991,.431,273,821,.333,490,675,.726,381,1175,471,211,116,373,595
80,Marquette,32,12,20,.375,9.04,9.67,,7,13,,10,7,,2,10,,2405,2425,,1295,852,1932,.441,250,764,.327,471,619,.761,393,1233,513,221,113,438,544
81,Oregon,32,12,20,.375,8.72,11.81,,5,15,,10,7,,2,8,,2267,2366,,1285,817,1863,.439,262,785,.334,470,597,.787,354,1103,432,220,99,336,529
82,Belmont,32,26,6,.813,8.67,-0.68,,16,4,,13,2,,11,3,,2684,2347,,1290,793,1933,.410,319,949,.336,442,586,.754,348,1056,428,217,94,395,557
83,Notre Dame,31,13,18,.419,8.54,9.41,,4,14,,10,7,,2,9,,2308,2335,,1260,784,1785,.439,281,846,.332,486,646,.752,288,1043,434,192,89,293,560
84,Akron,35,29,6,.829,8.53,-2.87,,17,1,,15,0,,9,3,,3075,2590,,1400,908,2127,.427,330,934,.353,444,616,.721,383,1157,467,221,100,470,547
85,George Washington,35,19,16,.543,8.32,2.61,,8,10,,12,4,,4,8,,2848,2597,,1405,900,2022,.445,289,862,.335,508,695,.731,340,1130,545,282,116,445,589
86,Colorado State,34,21,13,.618,8.28,5.00,,11,9,,12,6,,6,5,,2574,2416,,1360,850,1881,.452,274,810,.338,442,635,.696,327,1019,397,228,78,345,634
87,Kansas State,32,12,20,.375,8.20,10.48,,3,15,,10,8,,1,10,,2546,2619,,1280,924,2010,.460,261,775,.337,510,707,.721,388,1195,522,237,132,403,498
88,Pittsburgh,33,13,20,.394,8.07,9.37,,5,13,,8,10,,3,8,,2327,2370,,1330,838,1816,.461,262,744,.352,432,562,.769,292,1055,434,203,100,348,524
89,Northern Iowa,36,23,13,.639,7.95,1.89,,11,9,,12,5,,6,6,,2500,2223,,1450,793,1941,.409,234,814,.287,403,562,.717,322,1201,391,205,97,424,519
90,Xavier,33,15,18,.455,7.70,9.97,,6,14,,12,6,,1,10,,2586,2661,,1330,968,2028,.477,260,748,.348,465,661,.703,337,1248,613,194,126,367,517
91,McNeese,34,28,6,.824,7.68,-1.51,,19,3,,14,0,,9,5,,2709,2271,,1375,734,1792,.410,278,855,.325,525,721,.728,394,1151,414,152,84,572,596
92,Wyoming,33,18,15,.545,7.42,4.17,,9,11,,14,4,,3,10,,2537,2409,,1320,810,1765,.459,212,649,.327,577,825,.699,300,1051,364,187,119,375,605
93,DePaul,32,16,16,.500,7.31,6.62,,8,12,,11,7,,4,7,,2248,2226,,1280,767,1772,.433,213,601,.354,479,670,.715,331,1097,441,235,118,404,555
94,High Point,36,31,5,.861,7.31,-6.30,,15,1,,17,1,,7,2,,3230,2565,,1450,892,2070,.431,270,833,.324,511,722,.708,381,1238,464,173,128,575,706
95,South Carolina,32,13,19,.406,7.27,8.80,,4,14,,11,8,,2,8,,2398,2447,,1295,881,1921,.459,219,688,.318,466,653,.714,353,1147,504,205,114,322,555
96,Illinois State,35,23,12,.657,6.95,1.10,,12,8,,14,2,,7,7,,2622,2378,,1405,858,1993,.431,224,705,.318,438,639,.685,314,1145,442,208,98,379,605
97,Mississippi State,32,13,19,.406,6.93,11.12,,5,13,,8,8,,4,6,,2484,2618,,1295,918,2075,.442,278,819,.339,504,670,.752,381,1235,478,220,133,296,534
98,George Mason,33,23,10,.697,6.01,1.10,,11,7,,17,3,,4,6,,2418,2237,,1320,801,1876,.427,257,788,.326,378,533,.709,325,1023,421,213,113,335,629
99,Utah,32,10,22,.313,5.81,10.56,,2,16,,8,9,,1,10,,2379,2531,,1285,940,1958,.480,232,661,.351,419,586,.715,348,1121,453,191,140,291,499
100,Yale,31,24,7,.774,5.73,-2.58,,11,3,,10,3,,9,3,,2520,2197,,1255,787,1826,.431,289,829,.349,334,464,.720,315,972,420,159,104,343,552
101,Miami (OH),34,32,2,.941,5.66,-4.12,,18,0,,16,0,,14,0,,3047,2566,,1380,931,2118,.440,257,789,.326,447,605,.739,359,1150,441,208,79,434,655
102,Nevada-Las Vegas,35,18,17,.514,5.50,6.18,,11,9,,10,6,,7,7,,2761,2742,,1415,915,2013,.455,259,738,.351,653,900,.726,389,1233,517,230,102,446,678
103,Utah Valley,34,25,9,.735,5.30,-1.58,,14,4,,15,1,,6,7,,2724,2338,,1375,794,1905,.417,226,661,.342,524,722,.726,366,1070,424,277,98,518,620
104,Rutgers,33,14,19,.424,4.72,9.27,,6,14,,10,7,,2,9,,2329,2479,,1336,880,1912,.460,267,745,.358,452,600,.753,360,1190,515,186,122,379,591
105,Maryland,33,12,21,.364,4.66,11.54,,4,16,,7,8,,2,10,,2300,2527,,1325,873,1874,.466,293,807,.363,488,670,.728,314,1101,534,210,116,330,574
106,Seattle,35,21,14,.600,4.64,2.76,,8,10,,14,4,,5,8,,2525,2354,,1406,822,1968,.418,240,745,.322,470,637,.738,366,1267,442,231,111,518,613
107,Hawaii,33,24,9,.727,4.50,-3.04,,14,6,,16,3,,6,5,,2626,2328,,1330,827,1990,.416,194,647,.300,480,689,.697,318,1092,325,254,97,401,677
108,Davidson,34,20,14,.588,4.24,2.90,,10,8,,11,7,,7,5,,2447,2309,,1375,812,1849,.439,218,672,.324,467,677,.690,333,1152,394,202,96,395,567
109,Hofstra,35,24,11,.686,4.18,-1.94,,12,6,,10,2,,9,8,,2641,2336,,1410,793,2034,.390,261,825,.316,489,687,.712,398,1195,434,177,121,353,583
110,San Francisco,33,17,16,.515,4.06,3.90,,8,10,,9,6,,4,7,,2464,2414,,1330,873,1968,.444,238,701,.340,430,579,.743,329,1107,459,206,89,323,632
111,Pacific,33,18,15,.545,4.04,2.52,,8,10,,11,3,,4,11,,2399,2271,,1325,771,1825,.422,266,775,.343,463,659,.703,287,980,384,213,122,340,515
112,Stephen F. Austin,34,28,6,.824,3.95,-4.30,,20,2,,15,1,,12,4,,2604,2265,,1365,815,1932,.422,204,682,.299,431,594,.726,341,1141,378,182,121,404,513
113,Memphis,32,13,19,.406,3.83,5.30,,8,10,,10,6,,3,10,,2407,2454,,1290,804,1908,.421,252,825,.305,592,809,.732,421,1190,440,260,135,427,582
114,Penn State,32,12,20,.375,3.82,9.48,,3,17,,9,8,,2,9,,2358,2539,,1280,920,1840,.500,310,799,.388,389,506,.769,299,1059,556,186,109,382,540
115,Florida Atlantic,33,18,15,.545,3.70,1.86,,9,9,,11,4,,4,8,,2596,2453,,1335,849,1977,.429,240,714,.336,515,712,.723,341,1143,392,247,92,375,562
116,UAB,32,20,12,.625,3.51,-0.29,,11,7,,8,9,,10,2,,2535,2361,,1295,854,1978,.432,254,787,.323,399,553,.722,324,1162,430,183,140,379,554
117,Fresno State,32,13,19,.406,3.47,4.63,,7,13,,10,8,,2,10,,2331,2330,,1280,840,1902,.442,255,845,.302,395,545,.725,346,1125,428,236,103,406,581
118,Murray State,33,20,13,.606,3.35,0.47,,12,8,,12,3,,5,7,,2742,2647,,1320,982,2070,.474,205,567,.362,478,666,.718,371,1159,433,227,90,376,652
119,UC Irvine,35,23,12,.657,3.35,-1.47,,15,5,,12,5,,7,5,,2704,2402,,1415,856,2205,.388,282,844,.334,408,582,.701,438,1282,464,232,135,479,635
120,Bradley,34,21,13,.618,3.30,0.54,,13,7,,14,3,,4,7,,2626,2502,,1405,857,1892,.453,277,760,.364,511,717,.713,316,1212,461,168,103,463,621
121,Duquesne,33,18,15,.545,3.30,2.27,,9,9,,12,6,,5,7,,2584,2481,,1340,843,1887,.447,269,753,.357,526,721,.730,333,1116,459,236,136,432,580
122,Illinois-Chicago,35,19,16,.543,3.24,0.55,,12,8,,9,5,,7,9,,2640,2470,,1420,843,1971,.428,304,907,.335,480,645,.744,370,1134,557,229,138,480,635
123,Washington State,32,12,20,.375,3.14,4.75,,7,11,,9,6,,1,11,,2435,2480,,1280,881,1903,.463,245,697,.352,473,633,.747,304,1032,432,228,94,323,535
124,Saint Joseph's,36,24,12,.667,3.02,1.75,,13,5,,13,3,,8,8,,2633,2529,,1445,917,2249,.408,287,910,.315,406,589,.689,423,1298,475,247,127,368,541
125,Sam Houston,34,22,12,.647,3.00,-0.10,,13,7,,13,1,,6,10,,2797,2554,,1360,885,2070,.428,276,876,.315,508,723,.703,378,1159,446,224,109,388,584
126,Boston College,31,11,20,.355,2.95,6.20,,4,14,,10,7,,1,10,,2090,2191,,1260,773,1811,.427,225,706,.319,420,626,.671,322,1163,376,192,105,311,530
127,Southern Illinois,32,16,16,.500,2.85,0.62,,10,10,,8,6,,7,8,,2336,2226,,1295,793,1876,.423,235,779,.302,405,590,.686,318,1122,412,220,114,424,547
128,California Baptist,34,25,9,.735,2.61,-2.45,,13,5,,15,0,,7,7,,2470,2298,,1375,804,1931,.416,180,611,.295,510,707,.721,332,1116,366,230,132,394,609
129,Georgia Tech,31,11,20,.355,2.60,6.25,,2,16,,10,9,,1,9,,2287,2400,,1245,822,1931,.426,284,857,.331,472,661,.714,362,1134,463,251,134,347,528
130,Liberty,34,26,8,.765,2.58,-1.07,,17,3,,14,2,,11,3,,2641,2397,,1370,880,1955,.450,267,718,.372,370,508,.728,351,1145,409,178,99,377,532
131,St. Thomas,34,24,10,.706,2.49,-5.32,,12,4,,14,1,,8,7,,2780,2433,,1360,867,2016,.430,259,837,.309,440,588,.748,314,1146,469,178,90,403,597
132,Rhode Island,32,16,16,.500,2.31,0.62,,7,11,,10,6,,4,7,,2236,2182,,1290,721,1668,.432,240,692,.347,500,710,.704,333,1086,390,253,101,449,595
133,St. Bonaventure,34,17,17,.500,2.30,1.57,,4,14,,9,7,,4,7,,2596,2532,,1370,880,1934,.455,281,787,.357,491,650,.755,337,1090,493,215,113,402,537
134,Richmond,32,15,17,.469,2.15,0.19,,5,13,,11,7,,3,8,,2455,2366,,1285,812,1836,.442,272,840,.324,470,657,.715,341,1159,389,169,80,395,571
135,UC San Diego,34,23,11,.676,2.06,-1.95,,12,8,,10,5,,8,5,,2573,2390,,1360,845,2026,.417,283,884,.320,417,580,.719,337,1210,475,207,115,407,558
136,North Dakota State,35,27,8,.771,2.03,-5.22,,14,2,,13,1,,10,5,,2812,2458,,1420,875,1980,.442,294,869,.338,414,555,.746,288,1111,482,225,109,478,557
137,UNC Wilmington,34,27,7,.794,2.03,-4.47,,15,3,,15,4,,12,2,,2594,2313,,1360,804,1970,.408,249,836,.298,456,618,.738,336,1140,382,175,97,347,633
138,North Texas,33,19,14,.576,1.98,1.04,,9,9,,12,5,,5,7,,2341,2225,,1350,735,1743,.422,206,673,.306,549,773,.710,364,1162,362,209,140,498,591
139,Temple,32,16,16,.500,0.98,-0.83,,8,10,,10,6,,5,6,,2366,2264,,1285,798,1795,.445,212,654,.324,456,643,.709,320,1074,394,171,130,328,586
140,UC Santa Barbara,32,18,14,.563,0.89,-2.08,,11,9,,11,4,,5,8,,2483,2328,,1300,805,1742,.462,208,618,.337,510,707,.721,258,967,394,227,97,379,582
141,Loyola Marymount,32,15,17,.469,0.80,1.22,,6,12,,10,8,,4,7,,2376,2306,,1295,804,1906,.422,238,703,.339,460,614,.749,360,1142,410,196,79,375,555
142,Texas-Rio Grande Valley,33,19,14,.576,0.77,-2.36,,14,8,,10,5,,8,8,,2505,2293,,1335,786,1899,.414,222,733,.303,499,720,.693,379,1127,454,212,103,366,521
143,Montana State,32,18,14,.563,0.75,-1.39,,12,6,,11,2,,6,11,,2493,2285,,1290,840,1867,.450,211,634,.333,394,517,.762,285,1045,362,171,75,359,522
144,Toledo,34,19,15,.559,0.56,-1.78,,11,7,,11,4,,5,9,,2755,2603,,1360,979,2087,.469,282,831,.339,363,534,.680,391,1188,500,210,116,426,558
145,Kennesaw State,35,21,14,.600,0.46,-1.32,,10,10,,13,3,,4,8,,2898,2659,,1410,849,2086,.407,258,786,.328,703,941,.747,400,1248,415,271,147,424,703
146,Oregon State,33,17,16,.515,0.45,3.48,,9,9,,12,5,,4,7,,2347,2447,,1340,840,1931,.435,264,802,.329,503,678,.742,372,1149,468,238,91,340,653
147,Western Kentucky,32,18,14,.563,0.38,-0.55,,11,9,,12,4,,5,7,,2537,2436,,1290,796,1838,.433,264,780,.338,580,836,.694,344,1199,459,194,143,399,604
148,Wright State,35,23,12,.657,0.30,-3.86,,15,5,,11,5,,9,5,,2818,2579,,1405,925,2017,.459,237,704,.337,492,672,.732,335,1102,415,238,121,421,640
149,Bowling Green,32,18,14,.563,0.24,-3.79,,9,9,,10,7,,6,6,,2602,2290,,1285,785,1802,.436,256,752,.340,464,647,.717,282,1070,412,208,116,469,607
150,Fordham,32,17,15,.531,0.13,-1.08,,8,10,,11,7,,4,6,,2235,2095,,1285,744,1766,.421,251,757,.332,356,521,.683,278,1023,454,190,96,377,502
151,Middle Tennessee,32,17,15,.531,0.09,1.23,,11,9,,11,4,,5,8,,2414,2329,,1310,820,1859,.441,214,651,.329,475,643,.739,315,1092,385,205,82,354,503
152,Northern Colorado,32,20,12,.625,-0.08,-2.84,,10,8,,11,3,,8,7,,2640,2449,,1300,856,1921,.446,203,673,.302,534,704,.759,271,1023,317,194,79,298,490
153,Charlotte,34,17,17,.500,-0.22,1.05,,9,9,,11,6,,4,8,,2492,2530,,1385,878,1981,.443,272,805,.338,502,706,.711,381,1105,446,228,97,306,568
154,Portland State,31,20,11,.645,-0.28,-3.00,,13,5,,11,3,,8,7,,2376,2179,,1250,713,1709,.417,220,683,.322,533,720,.740,275,1015,376,197,83,397,552
155,William & Mary,32,20,12,.625,-0.30,-2.94,,10,8,,11,2,,6,9,,2660,2487,,1280,857,1969,.435,293,893,.328,480,679,.707,372,1145,461,234,103,453,669
156,Valparaiso,33,18,15,.545,-0.33,0.35,,11,9,,13,4,,4,10,,2376,2358,,1345,836,1882,.444,221,690,.320,465,652,.713,340,1156,409,165,100,382,629
157,Idaho,36,21,15,.583,-0.52,-2.16,,9,9,,9,4,,7,9,,2800,2618,,1445,894,2065,.433,262,755,.347,568,770,.738,296,1205,412,229,97,386,668
158,East Tennessee State,34,23,11,.676,-0.77,-7.45,,13,5,,13,4,,8,6,,2638,2356,,1370,802,1888,.425,291,902,.323,461,645,.715,329,1092,439,199,90,435,519
159,Kent State,34,24,10,.706,-0.78,-2.41,,14,4,,14,3,,7,6,,2866,2707,,1385,910,2086,.436,312,908,.344,575,799,.720,361,1171,498,238,107,408,704
160,Winthrop,34,23,11,.676,-0.78,-4.56,,13,3,,13,1,,7,9,,2844,2566,,1365,870,2021,.430,280,871,.321,546,750,.728,334,1195,394,198,126,420,762
161,Arkansas State,32,20,12,.625,-0.90,-4.63,,11,7,,11,4,,9,7,,2655,2471,,1295,861,1960,.439,249,766,.325,500,713,.701,326,1067,440,284,106,368,618
162,Pennsylvania,30,18,12,.600,-0.99,-0.95,,9,5,,12,2,,4,8,,2277,2231,,1210,828,1828,.453,235,729,.322,340,505,.673,331,1095,442,180,111,366,559
163,Navy,34,26,8,.765,-1.07,-9.51,,17,1,,15,2,,10,5,,2537,2187,,1375,777,1908,.407,263,885,.297,370,492,.752,319,1046,410,208,94,421,647
164,Towson,34,19,15,.559,-1.07,-1.69,,9,9,,11,3,,3,10,,2354,2248,,1365,808,1947,.415,250,812,.308,382,549,.696,342,1140,376,168,96,339,501
165,Troy,34,22,12,.647,-1.16,-3.94,,12,6,,10,3,,9,7,,2696,2488,,1410,893,2061,.433,253,803,.315,449,639,.703,391,1184,449,239,122,426,568
166,Drake,34,14,20,.412,-1.23,1.14,,6,14,,6,11,,4,7,,2552,2544,,1370,896,2039,.439,325,902,.360,427,628,.680,358,1237,496,204,90,353,577
167,New Mexico State,32,16,16,.500,-1.34,-1.41,,8,12,,10,5,,3,8,,2403,2303,,1295,747,1820,.410,237,762,.311,572,793,.721,349,1144,357,193,107,355,546
168,UC Davis,33,19,14,.576,-1.37,-1.40,,11,9,,12,4,,6,9,,2562,2478,,1330,842,1880,.448,243,723,.336,551,751,.734,338,1177,439,215,107,492,669
169,College of Charleston,32,21,11,.656,-1.40,-2.82,,14,4,,11,4,,8,4,,2413,2348,,1290,849,2031,.418,285,882,.323,365,523,.698,405,1192,447,201,98,332,621
170,Robert Morris,33,22,11,.667,-1.43,-4.85,,13,7,,14,3,,8,7,,2555,2379,,1345,802,1840,.436,222,672,.330,553,727,.761,317,1008,419,234,111,372,543
171,Oakland,32,16,16,.500,-1.50,-0.28,,12,8,,7,6,,8,9,,2642,2614,,1280,978,2073,.472,293,862,.340,365,504,.724,395,1163,643,176,148,359,602
172,Central Arkansas,34,22,12,.647,-1.69,-5.00,,15,3,,14,1,,6,10,,2749,2541,,1385,887,1977,.449,356,1040,.342,411,564,.729,303,1175,547,223,112,469,571
173,Harvard,29,17,12,.586,-1.86,-4.32,,10,4,,8,4,,9,6,,2032,1934,,1175,707,1623,.436,201,635,.317,319,437,.730,268,924,364,189,71,322,414
174,UT Arlington,32,18,14,.563,-1.86,-1.82,,9,9,,9,4,,8,8,,2240,2134,,1295,742,1762,.421,149,558,.267,501,716,.700,324,1017,364,240,109,403,589
175,Cornell,28,15,13,.536,-1.94,-3.09,,8,6,,7,4,,8,8,,2477,2335,,1130,824,1728,.477,247,664,.372,440,614,.717,289,939,468,191,78,318,479
176,Florida International,32,15,17,.469,-1.97,-0.62,,8,12,,12,6,,3,10,,2580,2492,,1295,849,1955,.434,310,869,.357,484,685,.707,403,1171,526,256,108,484,600
177,San Jose State,33,9,24,.273,-1.97,6.44,,3,17,,6,10,,1,12,,2376,2591,,1325,913,1849,.494,259,725,.357,506,648,.781,350,1144,524,179,95,378,547
178,Cal State Fullerton,34,18,16,.529,-2.13,-0.25,,12,8,,10,4,,6,10,,2822,2778,,1360,956,2088,.458,324,958,.338,542,723,.750,341,1302,561,207,96,512,688
179,Cal State Northridge,34,20,14,.588,-2.27,-1.59,,12,8,,12,3,,7,8,,2767,2713,,1365,906,2132,.425,350,1036,.338,551,730,.755,344,1230,530,268,145,435,624
180,Eastern Washington,33,14,19,.424,-2.31,-0.81,,11,7,,8,4,,5,13,,2576,2606,,1330,912,1903,.479,260,737,.353,522,688,.759,321,1053,448,246,97,372,623
181,Massachusetts,33,17,16,.515,-2.36,-3.45,,7,11,,11,5,,2,8,,2648,2562,,1350,851,1881,.452,261,806,.324,599,823,.728,283,1057,498,247,99,406,625
182,Monmouth,34,19,15,.559,-2.38,-3.41,,11,7,,10,4,,6,9,,2471,2409,,1375,850,1959,.434,257,754,.341,452,623,.726,384,1204,430,213,113,464,576
183,Portland,34,15,19,.441,-2.47,3.57,,6,12,,12,6,,1,12,,2530,2669,,1370,914,2063,.443,346,958,.361,495,663,.747,379,1157,611,254,79,409,611
184,Austin Peay,31,22,9,.710,-2.50,-6.95,,15,3,,12,1,,9,7,,2530,2269,,1240,808,1805,.448,240,739,.325,413,585,.706,312,1067,429,204,98,425,560
185,Northern Kentucky,34,20,14,.588,-2.58,-4.81,,10,10,,12,5,,7,8,,2827,2634,,1370,926,2020,.458,277,783,.354,505,709,.712,365,1184,480,220,84,468,652
186,Tulane,33,18,15,.545,-2.58,1.05,,8,10,,10,8,,6,4,,2389,2493,,1330,853,1946,.438,266,776,.343,521,733,.711,418,1293,473,203,107,392,605
187,Montana,34,18,16,.529,-2.70,-0.84,,10,8,,11,6,,5,9,,2627,2535,,1360,904,2101,.430,256,808,.317,471,665,.708,355,1151,435,263,92,352,580
188,Texas A&M-Corpus Christi,33,18,15,.545,-2.75,-1.89,,13,9,,10,5,,7,9,,2393,2234,,1325,744,1739,.428,187,619,.302,559,792,.706,303,1055,360,240,129,450,602
189,Missouri State,34,16,18,.471,-2.78,-1.53,,8,12,,11,7,,3,10,,2551,2502,,1380,874,1926,.454,229,677,.338,525,740,.709,356,1146,432,223,149,389,632
190,Columbia,28,16,12,.571,-2.84,-4.22,,5,9,,9,5,,7,7,,2146,2007,,1130,706,1627,.434,200,590,.339,395,533,.741,259,858,411,191,108,284,436
191,Furman,35,22,13,.629,-2.88,-5.35,,10,8,,11,5,,7,5,,2671,2479,,1415,891,2086,.427,282,880,.320,415,591,.702,349,1137,427,265,104,337,596
192,Indiana State,32,11,21,.344,-3.00,0.40,,4,16,,8,7,,3,12,,2354,2383,,1305,889,1990,.447,218,690,.316,387,561,.690,358,1149,387,258,130,343,489
193,Louisiana Tech,34,20,14,.588,-3.02,-3.08,,11,9,,14,3,,4,10,,2375,2210,,1375,735,1871,.393,286,876,.326,454,652,.696,368,1124,409,226,127,415,546
194,Mercer,32,19,13,.594,-3.02,-5.37,,11,7,,14,1,,5,11,,2646,2416,,1280,857,1987,.431,281,827,.340,421,562,.749,391,1164,397,197,100,406,604
195,Marshall,32,19,13,.594,-3.04,-4.62,,11,7,,13,4,,6,8,,2596,2497,,1280,835,1930,.433,258,771,.335,569,785,.725,407,1163,384,227,86,374,541
196,Weber State,32,16,16,.500,-3.14,-2.91,,10,8,,11,5,,5,10,,2598,2474,,1295,878,1880,.467,239,749,.319,479,661,.725,286,1050,441,199,135,379,587
197,Campbell,34,16,18,.471,-3.17,-0.42,,8,10,,10,4,,3,13,,2691,2639,,1360,954,1999,.477,207,591,.350,524,711,.737,349,1125,467,236,126,415,668
198,South Dakota State,32,14,18,.438,-3.44,-3.30,,7,9,,9,4,,4,9,,2413,2331,,1285,796,1843,.432,295,870,.339,444,603,.736,272,1038,427,208,86,327,544
199,Jacksonville State,32,15,17,.469,-3.57,-2.92,,10,10,,10,7,,5,8,,2325,2188,,1290,726,1776,.409,239,759,.315,497,674,.737,309,1070,365,203,101,361,599
200,Siena,35,23,12,.657,-3.61,-8.15,,13,7,,9,4,,9,7,,2463,2304,,1405,829,1968,.421,251,776,.323,395,541,.730,353,1118,400,229,126,383,573
