,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS▼,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
329,Texas Southern,30,12,18,.400,-14.39,-8.32,,10,8,,9,5,,3,12,,2251,2339,,1221,774,1756,.441,250,748,.334,541,766,.706,325,1071,417,238,95,373,550
330,Alabama State,32,10,22,.313,-14.45,-8.39,,7,11,,5,4,,4,15,,2341,2473,,1280,826,1837,.450,253,746,.339,568,774,.734,336,1159,453,243,127,441,560
331,Bucknell,33,10,23,.303,-14.63,-5.70,,6,12,,6,8,,4,12,,2223,2518,,1336,857,1852,.463,313,846,.370,491,653,.752,334,1155,530,249,122,400,541
332,Stonehill,33,12,21,.364,-14.79,-9.47,,8,10,,8,5,,4,15,,2191,2263,,1340,823,1972,.417,217,655,.331,400,599,.668,323,1164,357,242,147,310,501
333,Northern Illinois,30,9,21,.300,-15.05,-2.51,,4,14,,6,7,,3,14,,2086,2334,,1200,822,1710,.481,233,661,.352,457,628,.728,279,1017,441,242,130,350,538
334,Arkansas-Pine Bluff,32,13,19,.406,-15.09,-7.23,,10,8,,7,4,,6,14,,2472,2593,,1285,876,1908,.459,238,711,.335,603,809,.745,363,1158,473,244,100,395,529
335,FDU,32,11,21,.344,-15.15,-7.60,,8,10,,8,6,,3,15,,2150,2245,,1285,781,1695,.461,250,686,.364,433,612,.708,262,1024,393,200,92,350,544
336,Manhattan,32,12,20,.375,-15.16,-7.97,,8,12,,7,7,,3,12,,2369,2526,,1295,936,2010,.466,280,768,.365,374,513,.729,411,1224,572,181,124,370,544
337,Army,32,11,21,.344,-15.62,-7.49,,5,13,,6,10,,5,10,,2309,2471,,1305,844,1807,.467,261,749,.348,522,702,.744,285,1119,448,230,101,353,509
338,North Florida,32,7,25,.219,-15.70,-3.26,,5,13,,5,8,,2,14,,2547,2821,,1285,1037,2122,.489,290,829,.350,457,649,.704,431,1251,535,251,114,321,515
339,North Alabama,30,9,21,.300,-15.94,-5.79,,4,14,,5,8,,4,12,,2082,2328,,1210,827,1748,.473,275,757,.363,399,522,.764,306,1025,461,218,106,297,530
