
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
272,Siena,27,18,9,.667,-4.07,-8.96,,11,5,,7,4,,9,5,,1917,1785,,64.6,109.9,.321,.318,.551,52.2,51.6,9.9,8.7,.515,13.8,32.2,.240
273,South Alabama,26,19,7,.731,-4.14,-6.60,,9,4,,8,2,,8,5,,1931,1790,,66.6,109.4,.404,.356,.552,48.9,44.2,12.2,10.7,.524,11.4,25.4,.267
274,South Carolina,25,11,14,.440,7.28,6.76,,2,10,,10,6,,1,6,,1911,1898,,68.3,110.2,.369,.440,.556,47.9,53.3,8.2,6.3,.508,12.6,26.9,.292
275,South Carolina State,23,6,17,.261,-22.82,-4.96,,4,3,,5,3,,1,14,,1504,1859,,70.5,92.8,.394,.330,.493,46.2,50.9,9.8,10.9,.460,18.3,31.4,.250
276,South Carolina Upstate,27,11,16,.407,-9.55,-4.09,,3,9,,8,5,,3,11,,2042,2018,,70.5,105.3,.346,.358,.534,49.5,47.7,9.0,11.9,.504,15.0,29.7,.234
277,South Dakota,27,14,13,.519,-8.23,-4.44,,6,6,,10,5,,3,8,,2189,2191,,71.7,111.1,.433,.353,.561,50.7,46.1,9.2,5.9,.515,14.5,32.0,.323
278,South Dakota State,27,12,15,.444,-2.21,-2.21,,5,7,,8,3,,3,8,,2046,1960,,68.3,110.5,.306,.392,.558,52.4,51.5,8.9,8.2,.531,14.1,30.6,.215
279,South Florida,26,18,8,.692,11.18,2.90,,10,3,,10,2,,7,3,,2308,2040,,73.9,117.4,.427,.443,.560,52.9,58.8,11.8,11.5,.518,12.8,37.5,.313
280,Southeast Missouri State,27,16,11,.593,-6.40,-7.06,,11,5,,9,4,,6,7,,2045,1929,,71.2,106.4,.382,.366,.548,51.3,48.6,9.4,9.7,.516,14.6,29.6,.261
281,Southeastern Louisiana,26,8,18,.308,-7.98,-2.10,,5,12,,5,5,,1,13,,1678,1799,,65.5,98.0,.393,.398,.509,48.3,52.6,10.6,8.9,.470,16.9,29.4,.269
282,Southern,25,12,13,.480,-10.56,-4.47,,8,4,,7,2,,5,11,,2015,1967,,73.0,108.8,.398,.328,.544,50.4,52.1,13.4,11.1,.508,14.1,32.7,.278
283,Southern California,25,18,7,.720,13.50,9.46,,7,7,,9,3,,5,4,,2032,1896,,71.5,111.5,.474,.332,.566,52.9,55.5,9.0,15.6,.523,14.9,34.4,.341
284,Southern Illinois,27,12,15,.444,3.33,1.75,,6,10,,7,6,,4,8,,2001,1919,,70.5,103.7,.340,.287,.528,51.7,48.7,11.3,10.7,.498,14.9,30.4,.231
285,SIU Edwardsville,27,17,10,.630,-7.46,-9.46,,10,6,,8,5,,8,5,,1951,1754,,67.0,107.4,.329,.354,.538,51.5,51.2,11.3,11.4,.510,14.9,32.6,.225
286,Southern Indiana,26,5,21,.192,-15.90,-7.90,,2,14,,3,10,,2,9,,1781,1919,,69.4,97.8,.361,.419,.483,47.9,43.6,9.3,9.5,.449,14.9,31.2,.233
287,Southern Methodist,25,17,8,.680,18.59,9.95,,6,6,,13,2,,3,5,,2155,1939,,71.4,119.5,.325,.348,.593,52.7,56.6,10.3,11.3,.560,13.6,35.3,.248
288,Southern Mississippi,28,14,14,.500,-6.35,-4.16,,7,8,,9,3,,3,10,,2054,2052,,69.3,104.9,.423,.310,.538,52.2,45.0,10.9,11.3,.489,15.9,31.8,.313
289,Southern Utah,26,9,17,.346,-10.34,0.49,,5,8,,6,4,,2,13,,1978,2069,,72.4,104.6,.319,.363,.550,49.7,51.6,7.5,9.6,.518,17.0,29.4,.231
290,St. Bonaventure,25,14,11,.560,2.04,1.04,,3,9,,8,5,,4,4,,1915,1851,,67.5,112.9,.293,.313,.563,52.5,56.6,11.1,13.7,.531,14.5,35.1,.220
291,St. John's (NY),25,20,5,.800,22.12,9.88,,13,1,,12,2,,7,0,,2108,1802,,72.0,116.5,.440,.338,.560,52.6,55.7,11.3,12.0,.518,12.5,36.8,.319
292,St. Thomas,28,21,7,.750,3.12,-5.28,,10,3,,12,1,,8,5,,2350,2035,,70.8,118.5,.356,.456,.615,49.0,57.2,11.4,7.1,.596,12.3,22.0,.246
293,Stanford,26,16,10,.615,11.72,8.83,,5,8,,10,6,,3,4,,1961,1886,,68.8,109.6,.369,.445,.544,50.9,47.4,11.5,9.7,.506,13.7,32.4,.268
294,Stephen F. Austin,26,23,3,.885,5.75,-4.50,,16,1,,14,0,,9,3,,2016,1695,,67.3,115.2,.290,.402,.547,53.7,50.0,10.5,9.7,.526,11.8,35.9,.194
295,Stetson,27,9,18,.333,-14.41,-4.05,,5,9,,7,4,,2,13,,1964,2175,,69.1,104.8,.341,.445,.549,48.3,57.8,9.3,5.5,.522,16.2,28.3,.231
296,Stonehill,27,9,18,.333,-15.69,-8.13,,6,8,,6,4,,3,13,,1756,1852,,66.7,96.2,.277,.402,.506,52.2,53.0,7.0,9.8,.477,17.8,29.5,.192
297,Stony Brook,26,15,11,.577,-4.52,-3.60,,7,6,,10,3,,4,7,,1871,1822,,66.9,106.1,.285,.458,.536,48.7,54.4,9.6,10.9,.507,14.4,28.7,.203
298,Syracuse,26,15,11,.577,11.64,7.29,,6,7,,12,4,,2,4,,1989,1876,,68.4,109.7,.380,.362,.554,48.8,48.0,9.7,16.3,.533,14.0,30.0,.242
299,Tarleton State,25,12,13,.480,-3.68,-0.91,,3,9,,8,4,,4,9,,1893,1823,,72.5,103.4,.401,.252,.543,49.2,43.4,14.9,9.5,.495,17.5,31.8,.303
300,TCU,25,16,9,.640,15.02,8.22,,6,6,,11,5,,3,4,,1972,1802,,70.0,111.1,.381,.371,.553,51.6,57.9,10.5,13.5,.517,13.7,33.1,.272
301,Temple,25,15,10,.600,0.59,-1.91,,7,5,,9,4,,5,3,,1867,1761,,65.8,113.0,.429,.373,.556,50.3,52.6,8.4,12.1,.509,12.1,30.6,.321
302,Tennessee,25,18,7,.720,22.04,10.28,,8,4,,13,1,,3,4,,2026,1732,,68.1,117.3,.412,.331,.561,59.2,61.9,10.8,10.7,.528,14.9,45.0,.288
303,Tennessee State,26,17,9,.654,-8.20,-8.72,,11,5,,8,2,,8,7,,2101,1979,,72.7,110.7,.340,.304,.546,51.9,46.4,12.8,9.7,.505,14.1,34.7,.258
304,Tennessee Tech,27,11,16,.407,-14.04,-8.04,,6,10,,6,6,,5,10,,2016,2046,,69.9,106.7,.347,.376,.551,51.5,48.7,8.7,7.7,.513,16.7,33.2,.259
305,Tennessee-Martin,27,20,7,.741,-4.17,-9.13,,12,4,,11,1,,8,5,,1958,1715,,67.8,106.9,.396,.467,.541,55.6,57.2,13.3,13.3,.510,18.1,39.9,.266
306,Texas,25,16,9,.640,17.89,8.31,,7,5,,11,3,,3,4,,2130,1859,,69.3,122.3,.457,.376,.600,56.6,44.5,8.9,7.3,.558,13.6,38.5,.344
307,Texas A&M,25,17,8,.680,17.73,6.49,,7,5,,12,3,,4,4,,2245,1964,,73.5,120.3,.370,.478,.589,50.6,63.9,11.3,9.5,.553,12.8,33.0,.277
308,Texas A&M-Corpus Christi,26,14,12,.538,-2.54,-0.72,,10,7,,8,4,,6,8,,1911,1767,,69.4,105.3,.415,.309,.537,52.6,52.5,11.7,9.3,.504,15.8,33.0,.279
309,Texas Southern,23,8,15,.348,-13.96,-4.58,,6,6,,6,4,,2,11,,1716,1831,,71.7,102.9,.408,.333,.545,49.2,41.8,9.1,8.8,.506,17.0,28.6,.289
310,Texas State,28,17,11,.607,-7.04,-6.62,,9,6,,15,1,,2,8,,2084,1984,,68.4,107.8,.339,.250,.552,53.8,48.9,12.7,11.1,.512,16.0,34.7,.258
311,Texas Tech,25,19,6,.760,23.10,13.46,,9,3,,12,1,,4,3,,2050,1809,,69.0,118.3,.279,.472,.578,52.3,55.3,9.2,9.1,.556,12.9,33.6,.197
312,Texas-Rio Grande Valley,26,14,12,.538,0.57,-1.26,,10,7,,7,5,,7,7,,1968,1809,,67.6,112.0,.287,.433,.580,51.0,61.6,9.4,8.6,.551,15.6,30.7,.216
313,The Citadel,27,9,18,.333,-16.94,-5.61,,6,8,,7,6,,2,11,,1867,2057,,64.8,104.7,.286,.496,.526,48.8,51.5,8.1,6.9,.498,14.3,29.3,.200
314,Toledo,26,13,13,.500,-0.90,-1.19,,7,6,,8,4,,4,8,,2102,2018,,70.4,114.8,.320,.325,.571,48.9,53.7,10.8,8.3,.535,13.0,31.4,.246
315,Towson,27,14,13,.519,-1.19,-0.39,,6,8,,9,3,,2,9,,1874,1808,,65.5,106.0,.297,.364,.507,54.5,40.6,9.6,8.9,.477,13.8,36.9,.202
316,Troy,27,17,10,.630,0.02,-2.78,,9,5,,8,3,,8,6,,2205,2016,,69.0,113.0,.344,.452,.561,51.7,57.9,11.8,8.5,.527,14.1,34.3,.251
317,Tulane,25,15,10,.600,-0.89,0.52,,6,6,,9,6,,5,2,,1817,1839,,68.4,105.7,.447,.442,.553,44.4,55.4,11.5,13.5,.500,14.2,22.6,.343
318,Tulsa,26,20,6,.769,11.26,1.51,,8,5,,10,2,,6,4,,2226,1898,,69.4,123.4,.411,.449,.612,54.4,53.1,8.9,6.8,.570,13.2,34.3,.322
319,UAB,26,16,10,.615,3.99,0.07,,7,6,,7,8,,7,2,,2075,1921,,71.5,110.1,.367,.308,.518,53.0,49.0,11.5,9.2,.480,10.5,33.9,.256
320,UC Davis,26,16,10,.615,-0.29,-0.74,,9,6,,12,3,,4,7,,2025,1931,,71.9,108.3,.394,.423,.570,49.4,61.2,11.2,8.0,.529,16.0,28.4,.295
321,UC Irvine,26,17,9,.654,3.13,-1.37,,10,4,,9,3,,5,5,,2019,1768,,71.8,107.1,.354,.283,.540,52.1,56.8,10.5,15.1,.510,14.8,32.4,.241
322,UC Riverside,27,8,19,.296,-8.83,0.29,,3,12,,5,6,,3,13,,1940,2102,,70.1,102.5,.336,.390,.536,49.3,49.9,7.3,10.4,.499,16.7,29.0,.245
323,UC San Diego,27,18,9,.667,3.35,-0.98,,8,7,,8,5,,6,4,,2061,1898,,70.1,109.0,.328,.434,.557,51.1,54.0,10.7,7.8,.531,14.4,27.8,.226
324,UC Santa Barbara,26,17,9,.654,1.87,-2.04,,10,5,,10,2,,5,6,,2059,1899,,67.3,116.6,.377,.424,.598,54.3,55.1,10.4,6.8,.562,15.8,34.0,.286
325,UCF,24,17,7,.708,13.22,9.13,,6,6,,12,3,,3,4,,1962,1864,,70.9,115.3,.304,.353,.568,53.8,53.9,7.7,8.1,.537,13.7,35.8,.227
326,UCLA,25,17,8,.680,16.81,9.37,,9,5,,14,1,,3,4,,1948,1762,,66.6,115.9,.361,.344,.573,50.2,56.8,9.6,10.3,.534,12.2,31.7,.276
327,UNC Asheville,26,12,14,.462,-4.85,-3.59,,6,6,,8,6,,3,8,,1919,1867,,67.9,108.2,.386,.352,.556,51.3,43.7,8.5,9.2,.522,15.6,31.4,.271
328,UNC Greensboro,27,12,15,.444,-10.88,-4.88,,8,6,,8,5,,3,7,,2124,2168,,69.0,112.5,.420,.397,.561,50.1,49.2,7.6,5.4,.526,12.6,29.0,.294
329,UNC Wilmington,26,22,4,.846,2.85,-4.94,,11,2,,13,2,,9,2,,2003,1743,,66.8,115.3,.435,.375,.553,54.8,51.4,7.7,7.3,.517,12.5,35.7,.299
330,UT Arlington,25,14,11,.560,-1.86,-1.60,,6,7,,8,3,,6,7,,1804,1703,,68.2,104.3,.414,.313,.540,54.3,50.6,11.2,10.2,.498,17.5,36.3,.297
331,Utah,25,9,16,.360,6.68,9.84,,1,11,,8,6,,0,8,,1909,1988,,69.4,109.5,.327,.384,.554,48.7,50.9,8.3,8.1,.521,14.1,29.4,.238
332,Utah State,25,22,3,.880,19.30,5.42,,12,2,,11,1,,7,2,,2117,1728,,68.8,122.4,.374,.405,.611,53.1,60.2,13.1,9.6,.587,13.8,35.6,.266
333,Utah Tech,27,16,11,.593,-2.43,-0.60,,9,4,,10,2,,5,8,,2077,1987,,69.3,108.5,.310,.379,.564,49.1,51.8,10.8,8.2,.537,15.3,29.6,.221
334,Utah Valley,25,18,7,.720,6.41,-0.95,,8,4,,12,0,,3,7,,2038,1703,,70.7,114.7,.339,.345,.594,54.6,63.8,13.8,15.1,.569,17.6,37.3,.240
335,UTEP,26,10,16,.385,-5.57,0.22,,6,9,,8,6,,2,8,,1815,1868,,66.5,103.4,.337,.377,.526,47.8,50.5,11.5,11.1,.493,15.1,29.3,.235
336,UTSA,25,5,20,.200,-14.92,1.47,,1,12,,2,9,,2,10,,1739,2016,,70.4,98.8,.294,.411,.492,46.8,44.3,9.5,12.4,.459,14.8,31.2,.203
337,Valparaiso,27,14,13,.519,-0.17,0.98,,8,8,,11,4,,3,9,,1926,1916,,66.5,105.9,.368,.362,.517,51.0,46.1,8.9,10.5,.478,13.4,33.1,.259
338,Vanderbilt,25,21,4,.840,23.92,9.12,,8,4,,12,2,,6,2,,2210,1840,,72.1,122.0,.388,.449,.604,51.5,57.0,11.9,14.0,.564,11.7,30.9,.302
339,Vermont,27,17,10,.630,-5.74,-9.18,,9,3,,9,3,,7,5,,2030,1886,,65.1,114.0,.318,.451,.577,53.5,50.1,6.7,9.5,.548,12.9,27.7,.233
340,Villanova,25,20,5,.800,17.83,9.19,,11,3,,11,2,,7,2,,1944,1728,,65.8,117.0,.328,.458,.568,51.1,55.7,11.2,6.0,.543,13.0,34.8,.227
341,Virginia,25,22,3,.880,20.43,6.43,,10,2,,12,1,,7,1,,2035,1685,,66.3,119.8,.351,.461,.572,56.2,59.1,9.6,15.7,.544,13.2,39.7,.247
342,Virginia Commonwealth,26,20,6,.769,13.14,2.14,,11,2,,12,2,,6,2,,2171,1885,,70.3,118.7,.448,.445,.587,52.3,53.2,10.6,11.8,.546,13.5,33.7,.332
343,VMI,27,6,21,.222,-20.36,-5.32,,1,13,,5,8,,1,11,,1955,2147,,69.2,104.7,.295,.546,.524,45.1,52.0,10.8,7.6,.491,13.1,27.0,.213
344,Virginia Tech,26,17,9,.654,12.66,8.23,,6,7,,12,3,,3,4,,2058,1943,,68.6,112.2,.361,.393,.556,49.8,51.4,9.5,9.1,.519,12.9,31.5,.265
345,Wagner,24,9,15,.375,-12.70,-7.70,,4,9,,6,5,,3,10,,1726,1756,,66.7,105.6,.298,.363,.536,52.5,49.7,8.3,6.9,.506,16.1,33.8,.212
346,Wake Forest,25,13,12,.520,12.86,10.18,,4,8,,9,6,,2,4,,1992,1925,,70.8,111.4,.348,.444,.566,48.4,53.5,12.1,11.3,.527,13.8,29.7,.266
347,Washington,26,13,13,.500,15.35,10.93,,5,10,,9,5,,3,7,,1998,1883,,67.9,112.1,.313,.336,.549,53.7,49.2,8.5,11.7,.511,13.5,35.2,.238
348,Washington State,27,11,16,.407,4.48,5.83,,6,8,,8,5,,1,9,,2068,2098,,69.4,110.4,.334,.453,.585,52.2,50.2,8.2,8.3,.554,17.0,30.5,.246
349,Weber State,27,13,14,.481,-2.84,-2.40,,7,7,,9,5,,4,9,,2202,2082,,71.2,113.5,.383,.337,.563,53.1,48.6,10.2,4.5,.526,13.4,32.9,.278
350,West Georgia,26,12,14,.462,-12.08,-5.21,,6,8,,8,5,,4,9,,1971,2078,,70.2,106.9,.294,.333,.527,50.0,46.7,9.4,13.1,.497,13.4,32.0,.208
351,West Virginia,25,16,9,.640,12.91,6.55,,7,5,,13,2,,3,3,,1753,1594,,64.1,108.4,.367,.428,.546,52.2,52.4,9.7,7.9,.517,14.8,30.8,.250
352,Western Carolina,25,10,15,.400,-8.63,-2.72,,6,8,,7,3,,3,12,,1952,1975,,69.8,110.8,.282,.408,.537,53.9,46.6,9.0,9.3,.511,14.1,36.3,.197
353,Western Illinois,27,5,22,.185,-22.58,-7.70,,1,15,,4,8,,1,14,,1766,2065,,67.2,96.8,.371,.327,.490,47.8,35.4,8.0,5.4,.451,15.0,30.1,.251
354,Western Kentucky,25,14,11,.560,0.11,0.20,,7,7,,10,4,,3,5,,1937,1866,,71.2,108.3,.391,.406,.515,51.2,51.2,10.6,8.2,.463,12.3,34.0,.295
355,Western Michigan,25,9,16,.360,-8.70,-2.40,,3,9,,7,5,,2,11,,1871,1983,,69.7,107.4,.322,.350,.540,51.7,49.3,7.1,8.0,.505,15.2,32.6,.235
356,Wichita State,26,16,10,.615,8.40,2.08,,8,5,,12,3,,4,4,,2005,1821,,66.7,113.4,.365,.350,.534,54.5,43.6,9.1,10.7,.504,12.4,38.9,.246
357,William & Mary,26,16,10,.615,1.96,-1.46,,7,7,,9,2,,5,8,,2175,1999,,74.2,112.8,.398,.431,.591,50.0,64.3,10.9,11.5,.556,15.1,27.9,.295
358,Winthrop,27,19,8,.704,0.67,-4.37,,11,1,,11,1,,7,7,,2296,2014,,71.7,118.1,.425,.456,.570,53.9,55.3,10.0,8.6,.527,12.7,35.8,.315
359,Wisconsin,25,18,7,.720,18.57,10.49,,10,4,,13,2,,4,2,,2092,1890,,69.8,118.2,.345,.511,.579,51.7,56.7,8.0,8.7,.540,11.3,29.9,.268
360,Wofford,27,17,10,.630,-6.41,-6.41,,9,5,,9,3,,8,7,,2137,2079,,68.5,115.6,.371,.431,.564,50.8,51.8,8.3,9.2,.529,12.1,31.7,.267
361,Wright State,27,17,10,.630,0.14,-3.74,,12,4,,9,4,,7,5,,2167,1968,,68.6,116.5,.372,.347,.581,52.9,49.7,11.0,12.3,.549,13.9,34.3,.270
362,Wyoming,25,13,12,.520,8.28,4.86,,4,10,,11,4,,1,8,,1936,1830,,68.3,113.4,.380,.422,.560,53.8,52.6,9.8,7.5,.521,14.3,35.2,.282
363,Xavier,25,13,12,.520,8.20,8.96,,5,9,,11,4,,1,7,,1944,1963,,71.8,107.7,.279,.409,.540,47.6,64.4,9.5,10.4,.513,12.3,26.4,.198
364,Yale,24,20,4,.833,6.82,-2.37,,8,2,,8,2,,8,2,,2000,1716,,66.6,123.8,.359,.363,.610,53.7,55.9,8.0,8.7,.576,12.1,33.6,.275
365,Youngstown State,27,13,14,.481,-3.53,-4.61,,6,10,,8,5,,4,8,,2144,1967,,69.2,114.2,.309,.497,.583,51.8,53.3,10.8,9.5,.553,15.9,33.9,.230
