
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
31,Brown,23,8,15,.348,-8.98,-4.46,,2,8,,5,7,,3,8,,1617,1573,,67.0,102.7,.269,.376,.523,51.1,59.1,11.4,12.5,.497,15.4,30.4,.185
32,Bryant,26,8,18,.308,-17.76,-6.68,,4,8,,7,4,,1,14,,1676,1880,,65.6,97.8,.300,.480,.513,48.8,55.7,9.0,11.9,.474,17.5,29.0,.223
33,Bucknell,27,8,19,.296,-14.26,-4.45,,5,9,,5,6,,3,10,,1815,2080,,67.0,99.0,.312,.438,.523,46.4,56.3,10.5,6.8,.480,16.7,26.1,.241
34,Buffalo,25,15,10,.600,-2.54,-4.71,,5,7,,6,6,,7,4,,1966,1871,,67.2,116.4,.406,.456,.599,49.6,56.5,11.1,8.0,.564,14.2,28.8,.301
35,Butler,26,13,13,.500,11.28,8.36,,4,11,,9,6,,1,7,,2073,1997,,69.8,112.0,.422,.363,.549,52.4,57.9,9.7,8.1,.511,13.6,35.4,.297
36,Cal Poly,27,11,16,.407,-5.04,0.36,,7,8,,6,6,,5,9,,2196,2303,,75.9,106.6,.366,.530,.567,50.3,50.3,8.8,6.2,.524,18.2,30.8,.284
37,Cal State Bakersfield,26,8,18,.308,-11.52,-0.68,,2,12,,6,8,,2,10,,1875,2082,,72.2,99.9,.416,.283,.512,48.3,43.9,10.7,14.1,.460,16.5,32.4,.305
38,Cal State Fullerton,27,13,14,.481,-2.59,0.65,,8,7,,8,3,,4,10,,2246,2223,,76.7,108.4,.389,.411,.555,47.9,55.6,11.0,8.4,.520,13.5,26.1,.276
39,Cal State Northridge,26,16,10,.615,-0.67,-0.75,,9,5,,12,1,,4,7,,2132,2054,,75.6,108.4,.350,.344,.543,53.9,58.7,9.4,8.8,.518,15.1,33.6,.230
40,California,26,18,8,.692,12.16,6.80,,6,7,,14,3,,3,5,,2053,1897,,69.1,113.1,.388,.423,.576,48.6,53.7,8.5,9.1,.530,13.1,26.2,.304
41,California Baptist,26,19,7,.731,1.54,-2.69,,9,4,,12,0,,6,6,,1896,1786,,67.4,106.7,.375,.320,.520,55.8,41.1,7.8,8.0,.478,14.9,38.7,.269
42,Campbell,26,12,14,.462,-3.67,0.71,,6,7,,8,3,,3,11,,2077,2042,,71.5,111.7,.423,.373,.557,52.2,46.0,9.9,4.5,.516,15.0,35.6,.305
43,Canisius,27,8,19,.296,-17.35,-7.35,,3,13,,6,7,,2,12,,1702,1921,,64.6,97.2,.308,.401,.502,49.2,55.4,7.7,8.1,.467,16.7,30.0,.216
44,Central Arkansas,27,17,10,.630,-1.30,-4.10,,12,2,,13,1,,4,9,,2161,1989,,70.3,112.3,.295,.494,.561,51.2,58.3,12.4,6.4,.537,13.4,29.6,.205
45,Central Connecticut State,25,15,10,.600,-9.92,-9.14,,9,5,,7,3,,8,7,,1877,1768,,66.1,113.0,.308,.350,.577,51.1,51.6,8.8,11.4,.543,14.0,28.9,.238
46,Central Michigan,25,8,17,.320,-8.63,-2.15,,4,8,,7,4,,0,12,,1849,1933,,69.6,106.2,.311,.337,.551,48.1,56.4,9.1,12.2,.523,15.7,29.6,.219
47,Charleston Southern,27,12,15,.444,-6.84,-6.30,,3,9,,8,3,,4,11,,2240,2145,,74.1,109.9,.293,.527,.563,52.3,57.8,6.3,11.1,.547,16.1,31.6,.190
48,Charlotte,25,13,12,.520,-0.80,-0.09,,7,5,,9,5,,4,5,,1839,1852,,64.3,112.1,.384,.439,.569,52.2,50.7,7.1,10.6,.537,15.9,35.4,.272
49,Chattanooga,27,10,17,.370,-11.37,-5.62,,4,10,,6,7,,4,9,,2016,1994,,68.1,109.7,.287,.511,.567,47.5,58.5,8.3,7.9,.535,13.0,23.7,.219
50,Chicago State,27,6,21,.222,-16.46,-3.76,,4,10,,4,5,,2,16,,1784,2091,,66.6,98.7,.306,.309,.494,46.6,47.0,12.3,4.7,.452,14.0,29.8,.228
51,Cincinnati,26,14,12,.538,13.86,8.55,,6,7,,13,3,,1,6,,1879,1741,,69.7,103.6,.307,.435,.525,51.6,64.1,9.3,12.7,.498,15.0,30.4,.207
52,Clemson,26,20,6,.769,17.55,7.43,,10,3,,11,2,,6,3,,1945,1682,,65.6,112.9,.372,.424,.568,52.6,50.1,9.5,8.1,.534,13.1,28.9,.269
53,Cleveland State,27,10,17,.370,-11.97,-2.81,,6,10,,6,6,,3,10,,2169,2291,,71.3,112.7,.388,.493,.587,48.0,59.9,7.6,8.4,.549,16.1,30.9,.293
54,Coastal Carolina,27,16,11,.593,-6.99,-5.52,,8,6,,7,4,,8,7,,1985,1946,,69.0,103.6,.305,.428,.525,51.2,42.7,6.3,8.1,.490,13.7,27.3,.222
55,Colgate,27,16,11,.593,-3.80,-4.44,,10,4,,7,4,,6,7,,2066,1971,,67.4,111.5,.288,.342,.573,50.2,51.0,9.4,9.1,.547,13.6,27.8,.209
56,College of Charleston,27,17,10,.630,-0.99,-2.07,,10,4,,10,4,,5,4,,2045,1996,,69.2,108.4,.414,.383,.546,50.4,49.6,7.8,12.5,.500,13.9,30.2,.307
57,Colorado,26,14,12,.538,10.84,9.34,,4,9,,11,4,,1,7,,2081,2042,,69.6,113.8,.359,.345,.568,50.1,54.8,9.0,8.7,.530,12.4,29.9,.269
58,Colorado State,25,15,10,.600,8.15,4.36,,6,8,,10,4,,3,5,,1899,1758,,64.1,118.6,.389,.487,.622,53.2,61.4,8.3,7.0,.587,16.2,31.0,.300
59,Columbia,24,15,9,.625,-2.58,-4.17,,4,6,,8,3,,7,6,,1878,1740,,67.9,114.1,.302,.374,.575,56.5,56.3,8.0,8.7,.553,16.3,37.8,.208
60,Connecticut,26,24,2,.923,23.84,9.72,,14,1,,13,1,,8,1,,2061,1694,,66.6,117.9,.312,.398,.586,53.8,64.2,10.6,15.3,.563,14.0,35.2,.219
61,Coppin State,26,5,21,.192,-25.96,-6.76,,3,6,,2,5,,3,13,,1697,2136,,69.8,93.5,.363,.357,.496,47.2,53.2,9.5,9.9,.459,19.0,31.2,.245
62,Cornell,23,12,11,.522,-1.51,-2.99,,5,5,,5,3,,7,8,,2078,1935,,73.2,122.0,.299,.519,.625,51.6,68.6,8.5,7.4,.603,14.4,31.4,.221
