,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
51,Louisiana State,SEC,,,14,11,80.7,75.3,5.40,,7.96,,8.21,5.15,13.36,120.40,103.53,16.87
52,UCF,Big 12,,,17,7,81.8,77.7,4.08,,9.13,,11.22,2.00,13.22,120.96,104.01,16.95
53,Virginia Commonwealth,A-10,,,20,6,83.5,72.5,11.00,,2.14,,10.04,3.11,13.14,118.53,101.89,16.64
54,West Virginia,Big 12,,,16,9,70.1,63.8,6.36,,6.55,,-1.20,14.12,12.91,112.31,94.83,17.48
55,Wake Forest,ACC,,,13,12,79.7,77.0,2.68,,10.18,,8.26,4.60,12.86,116.00,99.65,16.35
56,Boise State,MWC,,,15,10,79.3,74.6,4.76,,8.73,,7.79,5.02,12.81,118.62,101.51,17.11
57,Oklahoma,SEC,,,13,12,83.4,77.7,5.72,,7.07,,9.99,2.81,12.79,122.35,105.82,16.53
58,Virginia Tech,ACC,,,17,9,79.2,74.7,4.42,,8.23,,7.90,4.75,12.66,115.78,99.97,15.81
59,California,ACC,,,18,8,79.0,73.0,6.00,,6.80,,6.59,5.57,12.16,115.04,99.40,15.64
60,Oklahoma State,Big 12,,,16,9,84.7,81.3,3.40,,8.69,,12.28,-0.19,12.09,116.00,101.41,14.59
61,Missouri,SEC,,,17,8,80.0,74.3,5.72,,6.10,,6.32,5.51,11.82,117.35,102.68,14.66
62,Nevada,MWC,,,17,8,76.2,71.2,5.00,,6.73,,5.22,6.51,11.73,117.86,101.80,16.06
63,Northwestern,Big Ten,,,10,16,74.0,73.0,1.00,,10.72,,4.46,7.26,11.72,115.77,100.93,14.84
64,Stanford,ACC,,,16,10,75.4,72.5,2.88,,8.83,,5.42,6.29,11.72,115.59,101.00,14.59
