,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
51,Louisiana State,SEC,,,14,11,80.7,75.3,5.40,,8.00,,8.27,5.13,13.40,120.54,103.60,16.94
52,UCF,Big 12,,,17,7,81.8,77.7,4.08,,9.19,,11.23,2.04,13.27,120.99,103.94,17.05
53,Virginia Commonwealth,A-10,,,20,6,83.5,72.5,11.00,,2.16,,10.07,3.08,13.16,118.59,101.93,16.66
54,Wake Forest,ACC,,,13,12,79.7,77.0,2.68,,10.25,,8.29,4.64,12.93,116.08,99.63,16.46
55,West Virginia,Big 12,,,16,9,70.1,63.8,6.36,,6.57,,-1.16,14.09,12.93,112.39,94.87,17.53
56,Boise State,MWC,,,15,10,79.3,74.6,4.76,,8.78,,7.83,5.04,12.87,118.68,101.48,17.20
57,Oklahoma,SEC,,,13,12,83.4,77.7,5.72,,7.07,,9.97,2.82,12.79,122.36,105.83,16.53
58,Virginia Tech,ACC,,,17,9,79.2,74.7,4.42,,8.27,,7.91,4.79,12.70,115.79,99.91,15.87
59,California,ACC,,,18,8,79.0,73.0,6.00,,6.84,,6.60,5.60,12.20,115.09,99.37,15.72
60,Oklahoma State,Big 12,,,16,9,84.7,81.3,3.40,,8.72,,12.29,-0.17,12.12,116.05,101.39,14.66
61,Missouri,SEC,,,17,8,80.0,74.3,5.72,,6.19,,6.38,5.53,11.91,117.48,102.69,14.79
62,Northwestern,Big Ten,,,10,16,74.0,73.0,1.00,,10.85,,4.50,7.34,11.85,115.88,100.85,15.03
63,Nevada,MWC,,,17,8,76.2,71.2,5.00,,6.77,,5.25,6.52,11.77,117.94,101.80,16.14
64,Stanford,ACC,,,16,10,75.4,72.5,2.88,,8.89,,5.44,6.33,11.77,115.65,100.96,14.68
65,Providence,Big East,,,11,15,87.4,85.4,2.04,,9.49,,18.13,-6.60,11.53,122.09,107.21,14.89
66,Butler,Big East,,,13,13,79.7,76.8,2.92,,8.40,,8.71,2.61,11.32,115.84,102.28,13.57
67,Tulsa,American,,,20,6,85.6,73.0,12.62,,1.55,,10.00,1.31,11.30,121.49,106.68,14.81
68,South Florida,American,,,18,8,88.8,78.5,10.31,,2.96,,13.42,-2.19,11.24,115.41,101.49,13.92
69,Syracuse,ACC,,,15,12,76.0,73.2,2.81,,8.13,,6.71,4.24,10.95,114.75,100.76,13.99
70,Colorado,Big 12,,,14,12,80.0,78.5,1.50,,9.41,,9.41,1.51,10.91,118.40,104.72,13.67
71,Arizona State,Big 12,,,13,12,78.7,79.2,-0.44,,11.19,,8.38,2.37,10.75,115.95,102.01,13.94
72,Creighton,Big East,,,13,13,76.0,75.2,0.88,,9.82,,5.83,4.87,10.71,117.17,103.88,13.29
73,Grand Canyon,MWC,,,16,9,75.3,68.8,6.52,,4.07,,2.18,8.41,10.59,110.83,96.93,13.90
74,Notre Dame,ACC,,,12,14,74.7,73.4,1.23,,8.95,,4.37,5.81,10.18,115.03,101.95,13.08
75,George Washington,A-10,,,15,11,83.2,73.0,10.15,,1.83,,9.36,0.75,10.11,118.07,105.54,12.53
76,Florida State,ACC,,,12,13,80.4,78.4,1.96,,7.90,,8.62,1.24,9.86,114.18,101.56,12.62
77,Minnesota,Big Ten,,,11,14,71.0,68.9,2.04,,7.59,,-0.65,10.28,9.63,111.43,99.41,12.02
78,Belmont,MVC,,,24,4,83.8,72.6,11.21,,-0.34,,8.94,0.61,9.55,117.96,105.69,12.27
79,Mississippi,SEC,,,11,14,74.0,73.7,0.36,,9.07,,1.99,7.45,9.43,112.50,100.63,11.87
80,Oregon,Big Ten,,,9,16,72.2,74.9,-2.64,,12.01,,3.37,6.00,9.37,114.33,103.42,10.91
81,Akron,MAC,,,20,5,89.9,74.9,14.96,,-2.18,,11.45,-2.11,9.34,118.82,107.67,11.15
82,Mississippi State,SEC,,,12,13,77.4,78.4,-1.00,,10.11,,6.06,3.06,9.11,111.88,100.37,11.52
83,Kansas State,Big 12,,,10,15,80.2,80.7,-0.48,,9.50,,9.58,-0.56,9.02,114.36,103.44,10.93
84,Georgetown,Big East,,,13,12,75.3,73.2,2.08,,6.60,,4.24,4.44,8.68,114.45,103.72,10.74
85,Wichita State,American,,,16,10,77.1,70.0,7.08,,2.14,,2.49,5.97,8.46,110.44,99.79,10.65
86,McNeese State,Southland,,,22,5,81.3,66.8,14.48,,-1.49,,3.16,5.23,8.39,114.45,103.19,11.26
87,Wyoming,MWC,,,13,12,77.4,73.2,4.24,,4.91,,3.53,4.80,8.33,113.93,104.15,9.79
88,Xavier,Big East,,,13,12,77.8,78.5,-0.76,,9.00,,7.92,0.32,8.24,113.50,103.41,10.09
89,Colorado State,MWC,,,15,10,76.0,70.3,5.64,,4.40,,1.24,6.95,8.19,119.29,108.95,10.34
