,,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
216,Long Island University,NEC,,,18,9,73.2,71.1,2.04,,-6.19,,-3.67,-0.48,-4.15,101.35,108.68,-7.33
217,South Alabama,Sun Belt,,,19,8,74.5,69.4,5.07,,-6.37,,-4.36,0.20,-4.17,102.85,110.28,-7.43
218,Quinnipiac,MAAC,,,18,10,75.5,71.4,4.07,,-6.39,,-2.09,-2.31,-4.39,100.43,108.01,-7.58
219,Stony Brook,CAA,,,16,11,72.0,70.0,1.93,,-3.66,,-4.74,0.32,-4.42,101.53,109.59,-8.06
220,Rice,American,,,11,15,74.7,74.9,-0.23,,0.51,,-2.12,-2.54,-4.66,105.35,112.85,-7.50
221,Samford,Southern,,,15,12,78.3,74.8,3.44,,-4.79,,-1.50,-3.21,-4.71,105.46,113.33,-7.88
222,UNC Asheville,Big South,,,12,14,73.8,71.8,2.00,,-3.55,,-6.41,1.61,-4.81,102.99,110.99,-8.00
223,Denver,Summit,,,13,15,83.3,82.7,0.57,,-1.20,,4.30,-9.17,-4.88,113.15,120.66,-7.52
224,Colgate,Patriot,,,16,12,75.9,73.4,2.43,,-4.53,,-1.58,-3.37,-4.95,104.30,113.18,-8.88
225,Cal Poly,Big West,,,11,16,81.3,85.3,-3.96,,0.39,,5.50,-10.51,-5.01,105.74,113.34,-7.60
226,Louisiana Tech,CUSA,,,14,11,69.2,64.5,4.68,,-2.93,,-9.93,4.91,-5.02,98.19,107.03,-8.83
227,Idaho State,Big Sky,,,10,17,74.3,76.0,-1.70,,-0.48,,-2.93,-2.14,-5.07,108.83,117.92,-9.09
228,Eastern Michigan,MAC,,,9,17,71.2,73.4,-2.23,,-1.24,,-6.19,1.11,-5.08,100.74,109.34,-8.61
229,Drexel,CAA,,,13,14,68.6,67.9,0.67,,-4.63,,-8.64,3.40,-5.24,100.35,108.84,-8.50
230,Long Beach State,Big West,,,8,18,74.2,77.0,-2.85,,1.15,,-2.34,-2.93,-5.27,103.23,111.39,-8.15
231,Green Bay,Horizon,,,15,13,75.0,75.5,-0.43,,-2.54,,-4.31,-1.00,-5.31,108.98,117.49,-8.51
232,James Madison,Sun Belt,,,14,13,73.9,74.6,-0.67,,-4.11,,-2.54,-2.80,-5.34,106.07,114.80,-8.73
233,UTEP,CUSA,,,10,16,69.8,71.8,-2.04,,0.26,,-7.35,1.82,-5.52,101.23,111.09,-9.86
234,Howard,MEAC,,,17,10,75.9,68.1,7.78,,-9.94,,-4.67,-0.97,-5.64,97.82,107.10,-9.28
235,Vermont,AmEast,,,17,10,75.2,69.9,5.33,,-9.15,,-3.37,-2.34,-5.71,105.51,114.95,-9.44
236,Florida Gulf Coast,A-Sun,,,12,15,78.8,78.0,0.85,,-3.79,,-0.66,-5.29,-5.95,104.02,113.76,-9.73
237,Abilene Christian,WAC,,,12,14,70.1,70.7,-0.58,,-0.53,,-8.32,2.35,-5.96,97.64,106.87,-9.23
238,Radford,Big South,,,14,13,82.2,79.2,2.96,,-4.92,,1.90,-7.98,-6.08,103.05,112.49,-9.44
239,Omaha,Summit,,,14,14,77.7,77.1,0.64,,-2.92,,-1.87,-4.21,-6.09,104.46,114.07,-9.61
240,East Carolina,American,,,9,16,70.3,76.4,-6.08,,0.09,,-4.19,-2.10,-6.29,99.95,109.58,-9.62
241,Old Dominion,Sun Belt,,,10,18,74.8,76.6,-1.89,,-2.87,,-2.44,-3.87,-6.31,102.18,111.65,-9.47
242,Saint Peter's,MAAC,,,15,9,72.3,68.5,3.71,,-7.33,,-6.17,-0.16,-6.33,101.19,111.92,-10.73
243,Southeast Missouri State,OVC,,,16,11,75.7,71.4,4.30,,-7.00,,-2.98,-3.36,-6.33,102.62,112.33,-9.71
244,Wofford,Southern,,,17,10,79.1,77.0,2.15,,-6.35,,-0.54,-5.82,-6.35,106.56,116.79,-10.23
245,Pepperdine,WCC,,,7,20,70.7,79.0,-8.33,,4.44,,-4.13,-2.23,-6.36,100.83,111.23,-10.40
246,Southern Mississippi,Sun Belt,,,14,14,73.4,73.3,0.07,,-4.17,,-4.37,-1.99,-6.36,100.89,110.94,-10.05
247,Dartmouth,Ivy,,,10,13,76.6,75.4,1.13,,-2.51,,-1.18,-5.28,-6.46,102.51,112.93,-10.42
248,Purdue Fort Wayne,Horizon,,,15,12,78.6,76.9,1.78,,-1.78,,-3.21,-3.40,-6.62,103.13,114.03,-10.90
249,Charleston Southern,Big South,,,12,15,83.0,79.4,3.52,,-6.25,,1.19,-7.98,-6.79,100.68,111.28,-10.60
250,Princeton,Ivy,,,8,17,69.1,72.4,-3.32,,-1.67,,-8.58,1.75,-6.84,100.85,112.00,-11.16
251,Milwaukee,Horizon,,,11,17,76.5,79.5,-3.00,,-1.76,,-2.84,-4.06,-6.90,103.85,114.58,-10.73
252,Coastal Carolina,Sun Belt,,,16,11,73.5,72.1,1.44,,-5.46,,-5.44,-1.48,-6.92,98.59,109.57,-10.99
253,Sacramento State,Big Sky,,,9,16,78.9,82.3,-3.44,,0.67,,2.35,-9.32,-6.97,103.91,114.18,-10.28
254,Texas State,Sun Belt,,,17,11,74.4,70.9,3.57,,-6.59,,-6.45,-0.55,-7.01,99.77,110.84,-11.07
255,American,Patriot,,,14,13,75.0,72.0,3.04,,-5.33,,-4.44,-2.61,-7.05,102.54,113.77,-11.23
256,Nicholls State,Southland,,,11,16,73.9,76.7,-2.78,,-1.57,,-2.10,-4.97,-7.07,103.61,114.60,-10.99
257,Iona,MAAC,,,15,12,73.2,73.1,0.07,,-7.20,,-2.62,-4.51,-7.13,99.98,111.59,-11.62
258,Delaware,CUSA,,,9,16,66.9,71.8,-4.96,,-2.38,,-8.57,1.40,-7.17,101.75,113.93,-12.18
259,Incarnate Word,Southland,,,10,17,75.2,74.9,0.33,,-1.58,,-3.12,-4.12,-7.24,105.34,117.81,-12.47
260,Detroit Mercy,Horizon,,,12,13,77.3,78.6,-1.28,,-2.92,,-1.11,-6.21,-7.31,103.55,114.52,-10.96
261,Hampton,CAA,,,12,14,70.1,68.8,1.31,,-4.73,,-7.73,0.42,-7.31,98.23,110.34,-12.10
262,SIU Edwardsville,OVC,,,17,10,72.3,65.0,7.30,,-9.36,,-10.70,3.35,-7.36,96.11,107.57,-11.47
263,Georgia Southern,Sun Belt,,,15,12,81.1,79.9,1.22,,-6.45,,2.26,-9.83,-7.57,103.50,115.27,-11.77
264,Maryland-Baltimore County,AmEast,,,16,8,75.2,68.9,6.29,,-11.21,,-5.43,-2.14,-7.57,101.82,114.12,-12.31
265,Evansville,MVC,,,6,20,67.4,75.0,-7.58,,3.42,,-6.13,-1.62,-7.74,99.32,112.22,-12.90
266,Lindenwood,OVC,,,16,11,79.0,72.9,6.15,,-6.85,,-1.71,-6.05,-7.76,97.22,109.53,-12.30
267,Boston University,Patriot,,,13,15,76.6,74.9,1.71,,-8.02,,-2.15,-5.84,-7.98,108.67,121.39,-12.71
268,Tennessee State,OVC,,,17,9,80.8,76.1,4.69,,-8.64,,0.36,-8.48,-8.12,102.58,115.07,-12.49
269,South Dakota,Summit,,,14,13,81.1,81.1,-0.07,,-4.39,,1.55,-9.73,-8.18,103.68,116.26,-12.58
270,Northeastern,CAA,,,6,18,75.1,81.4,-6.25,,-2.00,,-0.06,-8.19,-8.25,104.25,117.47,-13.22
271,Fairfield,MAAC,,,16,11,75.6,72.9,2.70,,-8.71,,-2.90,-5.42,-8.32,102.72,116.47,-13.75
272,Loyola (IL),A-10,,,6,20,67.2,77.9,-10.65,,2.31,,-5.10,-3.24,-8.34,101.96,116.01,-14.05
273,Western Carolina,Southern,,,10,15,78.1,79.0,-0.92,,-2.63,,-1.04,-7.50,-8.54,104.75,116.71,-11.96
274,Central Michigan,MAC,,,8,17,74.0,77.3,-3.36,,-2.12,,-4.28,-4.32,-8.60,103.48,117.63,-14.15
275,Western Michigan,MAC,,,9,16,74.8,79.3,-4.48,,-2.35,,-2.44,-6.22,-8.66,103.80,117.62,-13.83
276,Southeastern Louisiana,Southland,,,8,19,64.1,69.2,-5.11,,-2.38,,-10.62,1.94,-8.69,95.76,109.95,-14.19
277,North Carolina A&T,CAA,,,10,14,74.7,75.9,-1.25,,-5.33,,-3.32,-5.46,-8.78,100.09,114.19,-14.11
278,UC Riverside,Big West,,,8,19,71.9,77.9,-6.00,,0.31,,-5.50,-3.31,-8.81,100.37,113.57,-13.21
279,Longwood,Big South,,,14,14,76.5,73.0,3.54,,-7.78,,-4.14,-4.72,-8.86,99.03,113.32,-14.28
280,Brown,Ivy,,,8,15,70.3,68.4,1.91,,-4.36,,-9.97,1.09,-8.88,92.96,107.09,-14.12
281,Bellarmine,A-Sun,,,11,15,79.3,81.1,-1.77,,-3.80,,-0.71,-8.25,-8.96,112.41,126.34,-13.92
282,Eastern Kentucky,A-Sun,,,9,18,80.0,80.7,-0.70,,-3.54,,-1.02,-7.96,-8.98,105.85,119.39,-13.55
283,Northwestern State,Southland,,,8,19,70.1,74.4,-4.33,,-1.40,,-6.73,-2.27,-9.00,101.81,116.39,-14.58
284,Bethune-Cookman,SWAC,,,13,13,74.7,77.4,-2.69,,-4.69,,-4.31,-4.81,-9.13,98.50,111.98,-13.48
285,North Dakota,Summit,,,15,14,77.1,77.4,-0.28,,-3.16,,-3.57,-5.59,-9.16,102.68,116.64,-13.96
286,Houston Christian,Southland,,,10,17,67.9,72.9,-4.93,,-3.08,,-8.37,-0.90,-9.28,101.54,116.67,-15.12
287,Presbyterian,Big South,,,13,14,71.7,71.5,0.26,,-5.44,,-9.93,0.66,-9.28,98.84,113.09,-14.25
288,Northern Arizona,Big Sky,,,10,17,72.6,76.0,-3.41,,-0.94,,-8.05,-1.43,-9.48,102.51,118.05,-15.55
289,South Carolina Upstate,Big South,,,11,16,75.6,74.7,0.89,,-4.06,,-5.28,-4.23,-9.52,96.86,111.83,-14.97
290,Mercyhurst,NEC,,,13,14,68.1,66.0,2.07,,-8.87,,-11.12,1.29,-9.83,95.52,111.94,-16.42
291,Central Connecticut State,NEC,,,15,10,75.1,70.7,4.36,,-9.14,,-6.10,-3.82,-9.92,102.51,118.36,-15.86
292,Le Moyne,NEC,,,14,13,73.5,73.3,0.19,,-8.47,,-4.57,-5.40,-9.97,99.55,114.90,-15.35
293,East Texas A&M,Southland,,,11,17,70.7,74.5,-3.86,,-0.98,,-7.06,-3.08,-10.14,96.21,111.10,-14.89
294,Lehigh,Patriot,,,12,15,73.5,75.1,-1.63,,-6.57,,-4.21,-6.04,-10.25,98.33,114.37,-16.03
295,Southern Utah,WAC,,,9,17,76.1,79.6,-3.50,,0.52,,-2.22,-8.09,-10.31,100.03,114.89,-14.86
296,Georgia State,Sun Belt,,,9,18,70.5,74.3,-3.81,,-3.64,,-7.95,-2.68,-10.64,95.97,111.91,-15.94
297,Southern,SWAC,,,12,14,80.3,78.5,1.81,,-4.78,,-2.04,-8.61,-10.65,100.02,115.63,-15.61
298,Grambling,SWAC,,,11,14,70.6,70.5,0.08,,-7.60,,-10.11,-0.71,-10.82,95.30,111.06,-15.76
299,UNC Greensboro,Southern,,,12,15,78.7,80.3,-1.63,,-4.83,,-1.97,-8.87,-10.83,104.04,120.44,-16.40
300,Morehead State,OVC,,,15,12,76.2,75.9,0.26,,-6.03,,-5.39,-5.56,-10.95,101.93,118.41,-16.48
301,Sacred Heart,MAAC,,,12,16,76.3,77.4,-1.11,,-7.77,,-1.40,-9.63,-11.03,102.81,120.53,-17.71
302,Chattanooga,Southern,,,10,17,74.7,73.9,0.81,,-5.55,,-7.13,-4.16,-11.30,99.18,116.68,-17.50
303,Cal State Bakersfield,Big West,,,8,18,72.1,80.1,-7.96,,-0.68,,-4.35,-7.16,-11.51,98.51,114.90,-16.39
304,Louisiana,Sun Belt,,,9,18,62.9,69.6,-6.63,,-5.00,,-13.38,1.75,-11.63,95.58,113.83,-18.25
305,Mount St. Mary's,MAAC,,,12,15,68.1,72.1,-4.04,,-6.32,,-8.03,-3.67,-11.70,95.20,113.32,-18.12
306,Jacksonville,A-Sun,,,10,17,71.9,73.0,-1.07,,-4.26,,-11.45,-0.37,-11.82,97.31,115.31,-18.01
307,Ball State,MAC,,,8,17,66.4,70.0,-3.68,,-3.81,,-13.37,1.52,-11.85,93.30,112.47,-19.16
308,Cleveland State,Horizon,,,10,17,80.3,84.9,-4.52,,-2.75,,0.62,-12.53,-11.91,106.12,123.78,-17.66
309,IU Indy,Horizon,,,7,21,84.0,88.1,-4.07,,-3.88,,3.34,-15.33,-11.99,102.90,120.16,-17.26
310,West Georgia,A-Sun,,,12,14,75.8,79.9,-4.12,,-5.15,,-4.73,-7.29,-12.02,98.20,116.59,-18.39
311,Norfolk State,MEAC,,,13,14,75.5,72.6,2.89,,-8.37,,-7.33,-4.95,-12.28,96.29,115.18,-18.89
312,Oral Roberts,Summit,,,6,21,71.7,78.8,-7.07,,-0.25,,-7.03,-5.31,-12.33,97.23,115.90,-18.67
313,Alabama State,SWAC,,,9,17,74.1,77.5,-3.38,,-6.71,,-6.15,-6.32,-12.47,96.53,115.24,-18.71
314,Loyola (MD),Patriot,,,11,16,75.1,75.9,-0.74,,-8.45,,-4.47,-8.22,-12.69,98.46,118.09,-19.63
315,Alabama A&M,SWAC,,,15,11,71.1,71.5,-0.38,,-9.83,,-10.12,-2.75,-12.87,97.25,116.38,-19.13
316,Northern Illinois,MAC,,,8,16,71.0,76.5,-5.46,,-2.30,,-9.55,-3.38,-12.93,94.72,113.97,-19.26
317,Holy Cross,Patriot,,,9,18,67.5,72.9,-5.41,,-5.32,,-10.36,-2.64,-13.00,97.22,117.79,-20.57
318,Lafayette,Patriot,,,8,19,68.3,73.9,-5.56,,-5.93,,-9.07,-3.98,-13.05,96.48,116.63,-20.15
319,Air Force,MWC,,,3,22,61.4,79.0,-17.56,,4.47,,-11.35,-1.74,-13.09,94.52,115.77,-21.25
320,Wagner,NEC,,,9,16,71.6,73.6,-1.92,,-7.51,,-6.44,-6.66,-13.11,98.94,119.45,-20.52
321,Eastern Illinois,OVC,,,11,16,67.2,70.3,-3.04,,-4.68,,-12.29,-0.89,-13.18,91.86,112.32,-20.46
322,NJIT,AmEast,,,15,12,69.1,73.5,-4.37,,-7.47,,-8.67,-4.69,-13.35,94.13,114.45,-20.32
323,Little Rock,OVC,,,10,17,70.5,74.8,-4.26,,-7.26,,-8.65,-4.92,-13.58,97.63,118.32,-20.69
324,FDU,NEC,,,10,17,67.9,69.7,-1.81,,-6.42,,-10.78,-2.84,-13.63,96.03,117.08,-21.05
325,Texas Southern,SWAC,,,9,15,74.6,79.3,-4.75,,-4.82,,-4.54,-9.19,-13.73,99.46,118.93,-19.46
326,New Haven,NEC,,,11,15,64.2,66.5,-2.31,,-5.83,,-15.60,1.73,-13.88,91.14,114.04,-22.90
327,Tennessee Tech,OVC,,,11,16,74.7,75.8,-1.11,,-7.97,,-6.84,-7.14,-13.97,99.57,120.05,-20.48
328,Bucknell,Patriot,,,8,19,67.2,77.0,-9.81,,-4.42,,-9.39,-4.85,-14.24,93.80,115.64,-21.84
329,Arkansas-Pine Bluff,SWAC,,,11,15,77.4,82.5,-5.08,,-3.96,,-4.04,-10.22,-14.26,99.05,118.71,-19.66
330,Stetson,A-Sun,,,9,18,72.7,80.6,-7.81,,-3.96,,-7.31,-7.02,-14.32,97.89,119.70,-21.81
331,Albany (NY),AmEast,,,9,17,72.5,73.9,-1.42,,-6.65,,-9.17,-5.17,-14.35,97.06,118.54,-21.48
332,New Hampshire,AmEast,,,8,16,70.0,74.3,-4.25,,-4.87,,-8.99,-5.52,-14.51,92.67,115.22,-22.56
333,Massachusetts-Lowell,AmEast,,,11,15,75.4,77.3,-1.92,,-6.95,,-5.08,-9.43,-14.52,97.77,119.63,-21.86
334,Manhattan,MAAC,,,12,16,75.3,79.5,-4.21,,-7.81,,-3.18,-11.45,-14.62,101.08,123.15,-22.07
335,Prairie View,SWAC,,,10,16,80.7,80.2,0.46,,-6.86,,-2.21,-12.56,-14.77,97.22,117.65,-20.43
336,UTSA,American,,,5,20,69.6,80.6,-11.08,,1.52,,-7.04,-7.83,-14.87,96.69,118.31,-21.62
337,Army,Patriot,,,10,17,72.4,77.4,-5.04,,-6.32,,-6.88,-8.16,-15.04,96.79,120.09,-23.30
338,North Alabama,A-Sun,,,8,17,70.4,78.3,-7.96,,-5.01,,-9.04,-6.28,-15.32,96.91,120.34,-23.43
339,North Florida,A-Sun,,,6,21,80.7,89.6,-8.96,,-1.89,,0.82,-16.35,-15.53,103.96,125.95,-22.00
340,Stonehill,NEC,,,9,18,65.0,68.6,-3.56,,-8.14,,-15.19,-0.51,-15.70,87.08,111.81,-24.73
341,Southern Indiana,OVC,,,5,21,68.5,73.8,-5.31,,-7.85,,-11.51,-4.34,-15.85,89.22,113.16,-23.94
342,Florida A&M,SWAC,,,10,14,69.9,76.9,-7.04,,-7.75,,-10.68,-5.57,-16.25,91.80,114.68,-22.88
343,Niagara,MAAC,,,7,19,63.3,71.0,-7.62,,-7.52,,-15.57,-0.80,-16.36,93.81,119.64,-25.83
344,Chicago State,NEC,,,6,21,66.1,77.4,-11.37,,-3.75,,-9.08,-7.36,-16.44,95.07,120.02,-24.96
345,Maine,AmEast,,,6,21,62.6,69.3,-6.78,,-8.03,,-16.43,-0.11,-16.53,87.30,112.86,-25.56
346,Maryland-Eastern Shore,MEAC,,,8,19,63.7,71.1,-7.37,,-5.87,,-16.06,-0.53,-16.59,90.57,116.52,-25.95
347,North Carolina Central,MEAC,,,10,14,72.5,75.8,-3.25,,-5.09,,-9.95,-6.74,-16.69,95.73,120.79,-25.06
348,The Citadel,Southern,,,9,18,69.1,76.2,-7.04,,-5.55,,-11.55,-5.33,-16.88,94.41,121.32,-26.91
349,Canisius,MAAC,,,8,19,63.0,71.1,-8.11,,-7.33,,-15.20,-2.13,-17.33,90.23,117.51,-27.28
350,Kansas City,Summit,,,4,22,70.3,83.4,-13.08,,-0.92,,-10.16,-7.54,-17.70,90.99,116.48,-25.50
351,Bryant,AmEast,,,8,18,64.5,72.3,-7.85,,-6.64,,-13.92,-3.81,-17.73,90.48,118.52,-28.04
352,Jackson State,SWAC,,,9,17,70.2,85.5,-15.31,,-2.98,,-5.96,-12.33,-18.29,94.62,120.62,-26.00
353,Rider,MAAC,,,3,22,63.5,76.6,-13.04,,-3.76,,-12.85,-5.83,-18.68,92.31,121.57,-29.26
354,Louisiana-Monroe,Sun Belt,,,4,23,72.2,83.3,-11.15,,-5.00,,-4.32,-14.44,-18.76,96.02,123.22,-27.20
355,Saint Francis (PA),NEC,,,6,20,71.4,81.3,-9.92,,-4.72,,-6.56,-12.41,-18.97,95.31,123.36,-28.06
356,Morgan State,MEAC,,,10,14,74.9,78.6,-3.75,,-8.79,,-6.25,-13.30,-19.56,93.31,122.81,-29.50
357,Alcorn State,SWAC,,,6,19,66.9,82.4,-15.52,,-4.13,,-9.85,-9.80,-19.65,94.42,122.37,-27.95
358,VMI,Southern,,,6,21,72.4,79.5,-7.11,,-5.27,,-9.56,-10.75,-20.31,94.31,125.12,-30.82
359,Binghamton,AmEast,,,5,22,67.0,75.3,-8.30,,-9.67,,-11.84,-9.70,-21.54,90.54,123.56,-33.01
360,Western Illinois,OVC,,,5,22,65.4,76.5,-11.07,,-7.64,,-14.04,-8.48,-22.52,89.71,123.98,-34.27
361,Delaware State,MEAC,,,6,19,61.0,71.3,-10.36,,-8.86,,-18.25,-4.28,-22.53,83.59,117.84,-34.26
362,South Carolina State,MEAC,,,6,18,65.0,79.9,-14.88,,-5.86,,-12.70,-10.30,-23.00,89.16,122.06,-32.90
363,Gardner-Webb,Big South,,,3,24,68.7,87.8,-19.04,,-0.67,,-9.01,-14.87,-23.88,91.75,125.81,-34.06
364,Coppin State,MEAC,,,6,21,65.0,81.2,-16.19,,-7.40,,-13.56,-12.22,-25.79,86.83,124.52,-37.69
365,Mississippi Valley State,SWAC,,,1,25,63.9,85.2,-21.31,,-5.61,,-16.59,-12.62,-29.21,84.92,126.06,-41.14
